Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos
Queens,2020-04-01,West Queens,331,0.72907489,454,11369,
Queens,2020-04-01,West Queens,378,0.486486486,777,11370,
Queens,2020-04-01,West Queens,492,0.70995671,693,11372,
Queens,2020-04-01,West Queens,831,0.723867596,1148,11373,
Queens,2020-04-01,West Central Queens,319,0.5962616820000001,535,11374,
Queens,2020-04-01,West Central Queens,418,0.498806683,838,11375,
Queens,2020-04-01,West Queens,364,0.579617834,628,11377,
Queens,2020-04-01,West Queens,156,0.547368421,285,11378,
Queens,2020-04-01,West Central Queens,195,0.541666667,360,11379,
Queens,2020-04-01,West Central Queens,425,0.559947299,759,11385,
Queens,2020-04-01,Southeast Queens,151,0.6832579190000001,221,11411,
Queens,2020-04-01,Jamaica,245,0.597560976,410,11412,
Queens,2020-04-01,Southeast Queens,261,0.604166667,432,11413,
Queens,2020-04-01,Southwest Queens,162,0.5046728970000001,321,11414,
Queens,2020-04-01,Southwest Queens,149,0.613168724,243,11415,
Queens,2020-04-01,Southwest Queens,117,0.632432432,185,11416,
Queens,2020-04-01,Southwest Queens,173,0.594501718,291,11417,
Queens,2020-04-01,Southwest Queens,216,0.595041322,363,11418,
Queens,2020-04-01,Southwest Queens,182,0.54491018,334,11419,
Queens,2020-04-01,Southwest Queens,223,0.571794872,390,11420,
Queens,2020-04-01,Southwest Queens,202,0.573863636,352,11421,
Queens,2020-04-01,Southeast Queens,211,0.6187683279999999,341,11422,
Queens,2020-04-01,Jamaica,164,0.6074074070000001,270,11423,
Queens,2020-04-01,Southeast Queens,101,0.5,202,11426,
Queens,2020-04-01,Southeast Queens,181,0.560371517,323,11427,
Queens,2020-04-01,Southeast Queens,112,0.65497076,171,11428,
Queens,2020-04-01,Jamaica,358,0.645045045,555,11434,
Queens,2020-04-01,Jamaica,405,0.660685155,613,11432,
Queens,2020-04-01,Jamaica,155,0.62,250,11433,
Queens,2020-04-01,Jamaica,293,0.566731141,517,11435,
Queens,2020-04-01,Jamaica,100,0.64516129,155,11436,
Queens,2020-04-01,Rockaways,436,0.628242075,694,11691,
Queens,2020-04-01,Rockaways,110,0.5978260870000001,184,11692,
Queens,2020-04-01,Rockaways,86,0.5972222220000001,144,11693,
Queens,2020-04-01,Rockaways,143,0.52962963,270,11694,
Queens,2020-04-01,Rockaways,25,0.403225806,62,11697,
Manhattan,2020-04-03,Chelsea and Clinton,136,0.447368421,304,10001,44.74
Manhattan,2020-04-03,Lower East Side,317,0.486943164,651,10002,48.69
Manhattan,2020-04-03,Lower East Side,191,0.436073059,438,10003,43.61
Manhattan,2020-04-03,Lower Manhattan,19,0.452380952,42,10004,45.24
Manhattan,2020-04-03,Lower Manhattan,28,0.29787234,94,10005,29.79
Manhattan,2020-04-03,Lower Manhattan,7,0.269230769,26,10006,26.92
Manhattan,2020-04-03,Lower Manhattan,28,0.373333333,75,10007,37.33
Manhattan,2020-04-03,Lower East Side,236,0.430656934,548,10009,43.07
Manhattan,2020-04-03,Gramercy Park and Murray Hill,118,0.35119047600000003,336,10010,35.12
Manhattan,2020-04-03,Chelsea and Clinton,255,0.464480874,549,10011,46.45
Manhattan,2020-04-03,Greenwich Village and Soho,77,0.36842105299999994,209,10012,36.84
Manhattan,2020-04-03,Greenwich Village and Soho,120,0.452830189,265,10013,45.28
Manhattan,2020-04-03,Greenwich Village and Soho,163,0.469740634,347,10014,46.97
Manhattan,2020-04-03,Gramercy Park and Murray Hill,295,0.446293495,661,10016,44.63
Manhattan,2020-04-03,Gramercy Park and Murray Hill,59,0.34104046200000004,173,10017,34.1
Manhattan,2020-04-03,Chelsea and Clinton,97,0.45971564,211,10018,45.97
Manhattan,2020-04-03,Chelsea and Clinton,226,0.434615385,520,10019,43.46
Manhattan,2020-04-03,Upper East Side,258,0.383928571,672,10021,38.39
Manhattan,2020-04-03,Gramercy Park and Murray Hill,148,0.37,400,10022,37.0
Manhattan,2020-04-03,Upper West Side,231,0.396226415,583,10023,39.62
Manhattan,2020-04-03,Upper West Side,255,0.348837209,731,10024,34.88
Manhattan,2020-04-03,Upper West Side,327,0.36659192799999996,892,10025,36.66
Manhattan,2020-04-03,Central Harlem,166,0.457300275,363,10026,45.73
Manhattan,2020-04-03,Central Harlem,224,0.444444444,504,10027,44.44
