id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07
122,"Qatar",0,0,0,0,0,1,8,337,481,590,1325,2728,5008,9358,14872,21331,30972,42213,55262,67195,78416,86488,93663,99183,103128,106308,109036,110911,112650,114809,116765,118407,119864,121523,123146,124850,126339,127778,129227,130965,132556,134013
123,"Romania",0,0,0,0,0,3,9,123,367,1452,3613,5990,8418,10635,12732,15131,16704,17857,19133,20290,21679,23730,26022,28582,32079,36691,43678,52111,60623,69374,77544,85833,93864,102386,111550,121235,134065,152403,176468,205793,241339,296999
124,"Russia",0,2,2,2,2,2,13,59,306,1264,4731,13584,36793,74588,124054,198676,272043,335882,396575,458102,519458,576162,626779,673564,719449,764215,805332,843890,880563,915808,949531,982573,1017131,1053663,1092915,1138509,1198663,1278245,1376020,1487260,1606267,1740172
125,"Rwanda",0,0,0,0,0,0,0,1,17,60,102,120,144,183,255,280,289,325,359,431,541,702,878,1092,1299,1539,1752,2042,2134,2352,2889,3843,4349,4565,4689,4811,4852,4892,4971,5060,5137,5213
126,"Saint Lucia",0,0,0,0,0,0,0,1,2,3,14,15,15,15,17,18,18,18,18,19,19,19,19,22,22,23,24,25,25,25,26,26,26,27,27,27,27,29,33,52,78,123
127,"Saint Vincent and the Grenadines",0,0,0,0,0,0,0,1,1,1,7,12,12,14,16,17,17,18,26,26,27,29,29,29,29,38,52,54,56,57,58,60,61,64,64,64,64,64,67,73,74,76
128,"San Marino",0,0,0,0,0,1,23,80,144,224,259,356,455,513,580,637,653,665,671,680,694,696,698,698,699,699,699,699,699,699,704,710,716,722,723,727,732,741,759,819,928,1043
129,"Saudi Arabia",0,0,0,0,0,0,5,103,392,1203,2179,4033,8274,16299,25459,37136,52016,70161,83384,98869,123308,154233,178504,205929,229480,248416,264973,277478,287262,297315,306370,313911,319932,325050,329271,332790,335997,338944,341854,344552,347282,350229
130,"Senegal",0,0,0,0,0,0,4,10,47,130,219,278,350,614,1115,1634,2429,2976,3535,4249,4996,5783,6459,7272,8014,8669,9552,10284,11003,12032,12850,13456,13948,14237,14688,14869,15068,15244,15392,15543,15616,15693
131,"Serbia",0,0,0,0,0,0,1,46,171,659,1624,3380,5994,7779,9362,10032,10496,11092,11381,11741,12251,12803,13792,15829,18073,20498,22852,25882,27863,29471,30548,31282,31849,32300,32840,33312,33842,34685,35946,38872,46954,60635
132,"Seychelles",0,0,0,0,0,0,0,2,7,8,10,11,11,11,11,11,11,11,11,11,11,11,20,81,100,108,114,114,126,127,132,136,136,139,141,143,146,148,149,153,153,158
133,"Singapore",3,16,33,72,85,102,138,212,432,802,1189,2299,5992,12693,17548,22460,27356,31068,34366,37527,40197,41833,43246,44664,45783,47655,49888,52512,54929,55661,56266,56717,56982,57357,57558,57685,57800,57866,57904,57965,58015,58054
134,"Slovakia",0,0,0,0,0,0,1,44,178,292,471,728,1089,1373,1407,1455,1493,1504,1521,1528,1545,1586,1657,1749,1893,1976,2141,2337,2566,2855,3316,3842,4526,5453,6546,8600,12321,18797,28268,40801,57664,73667
135,"Slovenia",0,0,0,0,0,0,7,181,383,684,977,1188,1317,1388,1439,1454,1465,1468,1473,1484,1492,1519,1572,1679,1827,1940,2066,2171,2247,2401,2617,2834,3122,3603,4309,5191,6330,8252,12416,21274,34307,44270
136,"Somalia",0,0,0,0,0,0,0,0,1,3,7,21,135,390,671,997,1357,1594,1916,2289,2579,2755,2878,2961,3051,3111,3178,3212,3227,3250,3269,3310,3332,3376,3401,3588,3593,3847,3864,3897,3941,4229
137,"South Africa",0,0,0,0,0,0,1,38,240,1187,1585,2028,3034,4361,6336,9420,14355,21343,30967,45973,65736,92681,131800,187977,264184,350879,434200,503290,553188,583653,607045,622551,636884,648214,659656,669498,679716,690896,702131,714246,725452,735906
138,"Spain",0,1,1,2,2,45,500,6391,25374,73235,126168,163027,191726,205905,216582,223578,230698,235290,239228,241310,243605,245938,248469,250545,253908,260255,272421,288522,314362,342813,386054,439286,498989,566326,640040,716481,789932,861112,936560,1046132,1185678,1328832
139,"Sri Lanka",0,1,1,1,1,1,1,10,77,113,166,198,254,460,705,847,960,1089,1620,1814,1884,1950,2033,2074,2511,2703,2770,2815,2841,2890,2947,2995,3121,3195,3283,3349,3395,4628,5475,7521,10663,13419
140,"Sudan",0,0,0,0,0,0,0,1,2,5,10,19,66,213,592,1164,2289,3628,4800,6081,7007,8580,9257,9767,10250,10682,11385,11738,11894,12211,12682,13189,13407,13470,13535,13606,13653,13670,13691,13742,13804,13943
