id,Country,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08
29,"Central African Republic",11393,11401,11407,11410,11412,11414,11414,11415,11415,11415,11416,11416,11416,11416
30,"Chad",5051,5062,5074,5087,5100,5115,5131,5149,5168,5188,5210,5233,5258,5285
31,"Chile",1661058,1666288,1670290,1672461,1673207,1673348,1673358,1673359,1673359,1673359,1673359,1673359,1673359,1673359
32,"China",108099,108281,108426,108541,108632,108702,108755,108795,108825,108847,108863,108874,108883,108888
33,"Colombia",4970768,4981222,4991449,5001270,5010506,5018993,5026609,5033273,5038959,5043686,5047513,5050530,5052845,5054573
34,"Congo (Brazzaville)",14787,15081,15347,15594,15817,16024,16212,16386,16543,16689,16821,16943,17054,17156
35,"Congo (Kinshasa)",57151,57269,57353,57412,57453,57482,57503,57517,57528,57535,57540,57543,57546,57548
36,"Costa Rica",545295,553417,559152,562939,565269,566603,567311,567660,567817,567883,567908,567917,567919,567920
37,"Cote d'Ivoire",60688,60957,61138,61260,61340,61392,61426,61447,61461,61469,61474,61477,61479,61480
38,"Croatia",416126,427422,440615,456302,475059,497357,523088,551212,579631,606136,629271,648732,664819,678092
39,"Diamond Princess",712,712,712,712,712,712,712,712,712,712,712,712,712,712
40,"Cuba",895719,895719,895719,895719,895719,895719,895719,895719,895719,895719,895719,895719,895719,895719
41,"Cyprus",120972,121552,122038,122438,122761,123016,123215,123367,123481,123565,123625,123668,123698,123718
42,"Czechia",1697678,1703694,1711185,1720600,1732548,1747768,1767291,1792354,1824648,1866158,1919528,1987722,2074505,2183726
43,"Denmark",364602,368266,372426,377224,382868,389615,397819,407916,420468,436127,455665,479854,509452,544936
44,"Djibouti",13730,15632,19218,25846,37733,57917,89790,134550,188591,242517,287074,318083,337207,348012
45,"Dominican Republic",364695,370485,377870,386987,397900,410523,424652,439909,455829,471833,487368,501889,514992,526381
46,"Ecuador",512725,515469,518491,521725,525095,528505,531862,535071,538053,540742,543097,545097,546747,548065
47,"Egypt",311468,317156,323009,328895,334675,340221,345413,350162,354397,358086,361217,363811,365904,367552
48,"El Salvador",104439,104485,104502,104507,104509,104510,104510,104510,104510,104510,104510,104510,104510,104510
49,"Equatorial Guinea",13058,13795,14524,15236,15921,16571,17179,17740,18250,18707,19112,19464,19768,20026
50,"Eritrea",6747,6787,6838,6901,6981,7082,7208,7367,7566,7817,8131,8526,9021,9643
51,"Estonia",162944,169805,178523,189700,204217,223008,247254,277980,316092,361680,414111,471309,530578,588390
52,"Eswatini",46270,46462,46606,46715,46797,46859,46905,46940,46966,46986,47001,47012,47020,47026
53,"Ethiopia",353891,359844,365189,369997,374313,378188,381655,384755,387515,389970,392145,394070,395767,397259
54,"Fiji",51468,51705,51854,51946,52000,52031,52049,52058,52063,52065,52067,52067,52067,52068
55,"Finland",146194,150255,154488,158836,163246,167652,171999,176225,180279,184111,187689,190980,193971,196648
56,"France",7141430,7165063,7184280,7199675,7211918,7221518,7228988,7234723,7239090,7242372,7244816,7246611,7247915,7248850
57,"Gabon",32222,33970,35864,37908,40103,42450,44944,47585,50359,53262,56276,59390,62580,65833
58,"Gambia",9939,9941,9943,9943,9943,9944,9944,9944,9944,9944,9944,9944,9944,9944
59,"Georgia",626176,636169,645389,653781,661342,668065,673987,679139,683580,687365,690561,693231,695443,697255
60,"Germany",4303784,4356024,4405169,4450630,4492034,4529093,4561739,4589994,4614056,4634181,4650739,4664116,4674743,4683030
61,"Ghana",127754,127994,128133,128214,128262,128290,128306,128315,128321,128324,128326,128327,128328,128328
62,"Greece",674291,689190,703586,717333,730305,742394,753526,763651,772753,780838,787940,794107,799407,803912
63,"Guatemala",577679,591427,603274,613305,621663,628511,634032,638410,641827,644448,646428,647898,648972,649744
64,"Guinea",30486,30528,30556,30574,30587,30595,30600,30604,30606,30607,30608,30609,30609,30609
65,"Guyana",33306,34313,35151,35832,36373,36793,37111,37347,37518,37639,37723,37781,37818,37843
66,"Haiti",22365,23173,24425,26364,29371,34016,41197,52241,69207,95059,134218,192646,278432,400703
67,"Holy See",27,27,27,27,27,27,27,27,27,27,27,27,27,27
68,"Honduras",371996,377148,382113,386688,390740,394170,396956,399117,400724,401863,402637,403137,403445,403627
69,"Hungary",827182,829976,831786,832624,832798,832798,832798,832798,832798,832798,832798,832798,832798,832798
70,"Iceland",12136,12406,12709,13053,13442,13875,14348,14851,15372,15894,16402,16881,17317,17703
71,"India",33943550,34051241,34139359,34209839,34265482,34308495,34341289,34365756,34383740,34396658,34405782,34412067,34416312,34419101
72,"Indonesia",4226575,4233497,4238686,4242630,4245605,4247854,4249528,4250758,4251647,4252277,4252714,4253010,4253206,4253332
73,"Iran",5692451,5748369,5783982,5804302,5814684,5819379,5821254,5821906,5822103,5822153,5822164,5822166,5822166,5822167
74,"Iraq",2021427,2033182,2042847,2050710,2057050,2062108,2066108,2069238,2071666,2073531,2074950,2076019,2076817,2077407
75,"Ireland",400664,408961,416828,424209,431062,437360,443091,448259,452877,456970,460568,463707,466428,468770
76,"Israel",1304139,1312597,1316158,1317369,1317677,1317728,1317731,1317731,1317731,1317731,1317731,1317731,1317731,1317731
77,"Italy",4697975,4716351,4732881,4747713,4760947,4772629,4782801,4791497,4798780,4804734,4809480,4813159,4815929,4817953
78,"Jamaica",86048,87301,88234,88924,89433,89805,90075,90271,90412,90512,90583,90634,90669,90694
79,"Japan",1710780,1714009,1715438,1716027,1716253,1716333,1716359,1716367,1716369,1716370,1716370,1716370,1716370,1716370
