id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28
80,"Jordan",0,0,0,0,0,0,0,0,0,1,5,7,7,7,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,15,16,22,30,43,88,181,330,540,829,1181,1704,2172,2626,3010,3335,3545,3729,3877,4009,4137,4217,4304,4369,4444,4543,4675,4900,5285,5788,6472,7130,7708,8178,8563,8871,9076,9203,9295,9436,9516,9582,9656,9718,9769,9826,9887,9948,10032,10116,10203,10273,10368,10463,10531,10606,10669,10736,10802,10865,10941,11028,11114,11215,11347,11515,11715,11941,12191,12444,12684,12856,12974,13062,13174,13300,13477,13657,13798,13849,13882,13959,14003,14031,14048,14055,14059,14064,14066,14066,14066,14066
81,"Kazakhstan",0,0,0,0,0,0,0,0,0,1,5,10,19,25,26,31,34,35,38,54,73,118,173,242,352,375,585,823,1109,1433,1633,1781,1878,1948,1999,2043,2075,2106,2136,2178,2219,2259,2306,2365,2417,2477,2542,2609,2669,2749,2845,2885,2956,3035,3126,3185,3246,3311,3389,3456,3511,5802,5912,6028,6179,6373,6561,6758,6976,7149,7149,7321,7465,7586,7666,7759,7934,8173,8538,9077,9909,10791,11725,12655,13732,14423,15031,15503,15907,16346,16618,16871,17078,17263,17461,17625,17765,17895,18005,18098,18160,18211,18274,18293,18357,18454,18600,18736,18851,18906,18967,18989,19001,19008,19012,19013,19013,19013,19013,19014,19015,19015,19015
82,"Kenya",0,0,0,0,0,0,0,0,0,1,4,7,12,14,22,30,50,50,63,83,100,121,141,159,184,225,278,364,418,472,542,572,594,619,646,689,728,760,825,896,981,1103,1228,1366,1445,1518,1586,1633,1655,1685,1704,1728,1740,1755,1776,1795,1817,1854,1874,1908,1994,2104,2206,2330,2463,2603,2744,2883,3001,3049,3141,3264,3396,3447,3574,3671,3721,3760,3849,3931,4117,4319,4467,4694,4778,4902,4980,5096,5131,5181,5215,5255,5276,5305,5316,5325,5333,5335,5346,5353,5359,5381,5425,5488,5531,5578,5607,5629,5635,5639,5640,5644,5647,5647,5648,5648,5649,5649,5649,5649,5649,5649,5651
83,"Korea, South",0,0,0,0,2,16,44,72,102,144,177,211,232,242,250,256,262,266,270,273,277,280,282,283,289,295,298,301,305,305,309,323,334,358,383,401,421,432,444,457,466,478,493,505,523,545,580,674,808,962,1125,1249,1349,1420,1471,1522,1557,1603,1634,1669,1696,1722,1744,1768,1797,1813,1833,1874,1900,1931,1957,1973,1985,2002,2013,2026,2043,2057,2073,2098,2121,2156,2215,2279,2321,2359,2404,2450,2507,2575,2660,2766,2849,2967,3103,3274,3548,3852,4253,4722,5245,5694,6037,6310,6540,6732,6873,7081,7405,7944,8957,10395,12428,14899,17235,19421,21092,22133,22875,23360,23709,23965,24158
84,"Kuwait",0,0,0,0,0,0,0,0,0,0,1,1,6,19,33,49,107,148,205,254,289,319,344,365,386,407,429,453,474,498,513,528,540,558,581,597,620,655,694,744,779,808,835,863,875,889,911,918,929,937,942,947,952,959,964,998,1039,1078,1120,1165,1215,1279,1339,1403,1440,1511,1569,1635,1687,1724,1764,1794,1817,1862,1919,2005,2100,2211,2279,2320,2366,2386,2403,2416,2423,2430,2438,2445,2451,2454,2456,2460,2461,2462,2462,2464,2465,2465,2466,2466,2468,2468,2471,2475,2485,2494,2508,2519,2528,2536,2544,2550,2553,2553,2554,2555,2555,2555,2555,2555,2555,2555,2555
85,"Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,1,5,5,8,8,12,14,14,16,22,27,35,46,78,129,900,1249,1397,1459,1493,1055,1057,1060,1063,1063,1063,1066,1082,1108,1130,1144,1172,1196,1227,1262,1290,1307,1328,1344,1358,1367,1384,1398,1412,1423,1441,1452,1463,1471,1480,1490,1495,1502,1519,1546,1578,1612,1649,1695,1743,1797,1842,1881,1925,1971,2027,2093,2165,2238,2325,2389,2439,2478,2513,2546,2569,2586,2599,2607,2618,2632,2650,2668,2683,2702,2720,2740,2757,2768,2781,2792,2802,2816,2828,2846,2867,2899,2927,2942,2954,2963,2972,2979,2984,2990,2991,2991,2991,2991,2991,2991,2991,2991
86,"Latvia",0,0,0,0,0,0,0,0,0,0,1,3,5,12,16,18,19,22,24,25,28,30,30,30,30,31,31,32,32,32,33,34,35,35,36,36,38,40,43,54,71,96,121,153,193,253,324,427,515,668,818,961,1097,1180,1327,1443,1538,1614,1687,1757,1821,1872,1923,1986,2048,2101,2139,2208,2257,2323,2370,2407,2451,2493,2503,2526,2536,2543,2550,2556,2559,2561,2568,2573,2584,2607,2640,2682,2731,2794,2881,3018,3237,3472,3734,3940,4130,4261,4366,4438,4500,4577,4650,4726,4793,4862,4945,5020,5099,5223,5348,5434,5507,5572,5639,5678,5714,5743,5760,5789,5798,5813,5823
87,"Lebanon",0,0,0,0,0,0,0,3,4,8,17,20,21,24,25,26,26,26,26,29,32,32,33,35,36,40,47,61,78,97,121,155,187,239,286,340,398,455,517,562,637,713,806,894,991,1078,1190,1270,1379,1489,1590,1866,2270,3031,3562,3961,4297,4652,5013,5334,5715,6058,6379,6630,6886,7118,7302,7460,7602,7670,7718,7758,7790,7819,7841,7859,7873,7884,7891,7906,7938,7972,8008,8040,8089,8181,8232,8277,8341,8382,8419,8449,8495,8540,8577,8635,8701,8765,8836,8924,9027,9136,9267,9367,9474,9576,9694,9824,9950,10069,10142,10200,10243,10278,10312,10338,10358,10374,10386,10398,10407,10417,10425
88,"Liberia",0,0,0,0,0,0,0,0,0,0,0,5,7,8,18,20,20,24,27,30,32,33,34,37,47,68,71,75,78,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,83,83,83,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,86,86,93,95,113,133,135,148,148,148,220,221,245,245,245,245,283,283,286,286,286,287,287,287,287,287,287,287,287,287,287,287,287,287,288,290,290,290,290,290,294,294,294,294,294,294,294,294,294,294,294,294,294
89,"Liechtenstein",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,9,17,18,21,26,38,44,50,50,53,53,53,55,55,55,56,56,56,56,56,56,56,56,56,57,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,60,60,61,61,61,61,61,62,67,68,69,69,71,72,73,73,74,74,75,78,78,79,81,83,84,84,84,84,84,84,84,84,84
90,"Lithuania",0,0,0,0,0,0,0,0,0,4,7,13,22,29,33,35,42,47,54,55,59,60,61,62,62,63,63,63,64,64,67,69,69,70,71,74,80,87,98,116,152,195,281,412,571,766,985,1265,1571,1888,2174,2419,2631,2791,2927,3057,3162,3234,3321,3389,3464,3539,3602,3671,3751,3841,3937,4024,4088,4173,4245,4302,4335,4364,4379,4389,4398,4404,4410,4415,4424,4446,4481,4532,4598,4669,4777,4896,5041,5209,5406,5602,5833,6084,6293,6494,6672,6825,6956,7097,7265,7403,7524,7643,7748,7845,7969,8090,8236,8387,8503,8624,8716,8817,8899,8961,9011,9053,9094,9119,9126,9134,9142
91,"Luxembourg",0,0,0,0,0,0,0,1,8,18,31,62,72,85,92,101,104,109,110,110,110,110,110,110,110,111,112,116,120,123,124,124,124,124,124,124,125,131,133,141,152,180,219,260,300,345,392,434,458,495,527,549,562,577,590,606,622,637,652,681,714,738,750,763,785,790,796,801,806,810,814,818,818,818,818,818,819,820,821,822,824,828,830,830,830,834,834,835,835,836,839,842,843,849,855,862,866,880,890,898,907,915,922,934,943,948,958,969,983,988,996,1004,1010,1025,1037,1045,1054,1058,1064,1068,1073,1073,1073
92,"Madagascar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,10,13,16,29,34,55,78,107,141,166,178,190,199,210,219,229,232,237,238,244,244,244,249,250,251,255,259,259,260,262,262,267,273,279,281,285,292,297,300,326,345,381,449,493,538,593,654,716,754,793,829,859,882,896,906,921,928,936,939,943,943,952,954,955,957,958,958,958,958,960,960,960,963,964,964,964,967,972,980,996,1027,1027,1117,1169,1223,1274,1307,1335,1350,1366,1373,1377,1380,1384,1388,1388,1390,1391,1391,1391,1393,1393,1393
93,"Malaysia",0,0,0,0,0,0,0,0,7,34,60,74,88,98,104,109,113,115,115,117,121,121,121,121,122,123,123,125,125,125,125,126,128,128,131,134,139,160,188,231,263,282,306,332,354,379,411,433,451,483,542,594,667,746,857,948,1048,1126,1171,1211,1234,1251,1286,1321,1370,1426,1521,1657,1866,2199,2650,3291,3844,4348,4884,5434,6067,6866,7902,9024,10389,12228,13936,15802,17883,20419,23067,25159,26565,27265,27858,28354,28876,29256,29631,29978,30280,30574,30862,31073,31315,31513,31655,31781,31882,31957,32025,32114,32310,32634,33173,33720,34329,34751,35069,35280,35409,35491,35547,35579,35612,35641,35660
94,"Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,5,8,8,8,8,10,13,15,15,17,19,22,26,28,29,31,33,34,34,34,36,37,38,39,42,45,46,47,48,48,48,48,49,49,50,51,54,58,60,61,64,64,65,66,67,67,69,71,73,83,94,123,157,182,195,205,209,213,213,216,219,221,222,222,222,225,226,227,229,231,231,234,237,240,243,245,247,248,248,253,257,259,261,262,264,265,269,274,281,288,290,296,297,297,297,297,298,298,298,298,298,298,298,298,298
95,"Malta",0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,5,6,6,9,9,9,9,9,9,9,9,9,9,9,9,10,10,14,15,19,31,38,41,45,50,62,74,95,111,132,149,166,187,206,220,232,238,250,265,279,290,303,313,329,350,369,385,397,402,409,412,415,417,417,417,419,419,419,420,420,420,420,420,421,423,424,430,436,440,442,447,453,457,459,459,459,459,461,462,462,463,468,468,470,471,474,477,487,504,525,545,565,585,594,602,608,614,621,630,639,659,673,687,698,708,713,717,719
96,"Mauritania",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,6,20,49,83,108,121,129,147,153,156,157,157,157,158,158,160,161,161,161,162,163,163,163,163,165,165,169,172,184,222,273,321,353,383,401,416,422,425,428,434,440,442,443,446,448,449,450,452,454,455,456,457,458,463,466,475,480,486,489,494,508,528,562,599,636,672,702,733,749,765,768,777,784,788,792,795,801,807,816,831,838,849,852,862,870,885,903,924,949,964,972,976,979,980,981,981,982,982,982,982,982,982,982,982,982,982
97,"Mauritius",0,0,0,0,0,0,0,0,0,2,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,15,16,16,17,17,17,17,18,18,18,18,18,18,19,19,20,20,21,22,28,33,43,54,76,90,110,134,153,176,213,256,356,468,594,686,746,762,786,786,786,786,822,822,841,878,895,904,934,934,968,968,985,990,990,990,996,996,996,996
98,"Mexico",0,0,0,0,0,0,0,0,2,16,79,273,650,1305,2061,3353,5045,7179,9779,13511,16872,20781,26381,30366,34730,38888,43374,47472,52006,56543,60254,63819,67326,70604,73258,76243,78880,83642,86059,88743,91753,94808,98259,101373,105459,109456,113704,117876,122026,126851,133204,140241,149084,158074,165786,173771,179797,185257,190357,194490,197827,201429,204011,209212,212228,214853,217168,218928,220384,221597,223455,228758,230097,230959,232521,233580,234907,236240,238316,240906,244248,248167,252927,257906,262868,267524,270538,274703,278592,281610,284321,286259,288276,289674,290872,292145,293614,294904,296385,297568,298759,299525,300303,301334,302721,305762,309417,312697,315525,318014,319604,321054,321931,322634,323212,323691,323938,324120,324334,324334,324465,324617,324768
99,"Moldova",0,0,0,0,0,0,0,0,1,2,12,30,57,94,124,161,207,242,291,331,398,464,521,580,640,680,732,788,841,895,935,990,1063,1117,1201,1279,1353,1458,1569,1669,1785,1891,2006,2130,2269,2403,2547,2727,2883,3020,3130,3245,3347,3434,3530,3640,3760,3924,4091,4294,4531,4785,5092,5369,5548,5709,5826,5943,6016,6072,6100,6132,6152,6168,6183,6195,6208,6224,6242,6255,6279,6304,6356,6390,6426,6507,6586,6679,6829,6980,7206,7459,7751,8056,8446,8799,9054,9208,9354,9482,9605,10284,10356,10437,10513,10635,10755,10924,11093,11201,11285,11339,11381,11415,11445,11461,11481,11489,11489,11503,11516,11521,11537
100,"Monaco",0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,7,9,11,19,21,22,24,26,27,27,28,29,31,31,31,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,36,36,36,36,36,36,36,36,38,39,42,44,45,46,48,49,51,51,51,51,54,54,54,54,56,56,57,57,57,57,57
101,"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,4,4,5,10,20,44,78,115,162,207,248,268,307,351,425,518,617,684,734,767,815,846,872,896,924,957,1021,1108,1206,1333,1419,1527,1643,1734,1809,1869,1940,1990,2016,2033,2043,2054,2060,2070,2085,2094,2107,2124,2145,2159,2168,2174,2177,2177,2177,2177,2177,2177,2177,2179,2179,2179,2179,2179
102,"Montenegro",0,0,0,0,0,0,0,0,0,1,2,2,5,6,8,8,9,9,9,9,9,9,9,14,23,30,43,50,62,75,84,93,107,118,134,158,174,198,231,263,301,333,385,434,481,530,578,624,658,684,721,743,766,802,836,882,939,999,1059,1122,1194,1241,1303,1365,1427,1463,1502,1536,1560,1572,1583,1591,1598,1605,1609,1614,1620,1623,1624,1630,1635,1642,1666,1712,1753,1798,1839,1892,1932,1983,2020,2059,2100,2145,2200,2239,2283,2324,2349,2373,2389,2414,2434,2466,2507,2552,2599,2634,2655,2674,2685,2692,2696,2698,2705,2706,2709,2713,2714,2717,2718,2719,2720
103,"Morocco",0,0,0,0,0,0,0,1,3,25,59,111,137,159,173,186,192,198,204,208,212,213,220,232,245,269,305,367,480,632,858,1078,1329,1553,1795,2041,2293,2572,2878,3255,3695,4197,4697,5256,5739,6184,6589,6909,7204,7452,7709,7911,8128,8259,8381,8460,8548,8615,8676,8718,8763,8798,8842,8891,8944,8988,9026,9064,9098,9119,9138,9173,9207,9237,9273,9315,9360,9434,9559,9785,10255,10933,11677,12361,12993,13488,13876,14132,14315,14442,14537,14606,14667,14706,14740,14761,14774,14787,14796,14808,14827,14851,14904,14963,15113,15328,15575,15766,15881,15970,16015,16036,16051,16057,16060,16061,16062,16065,16069,16070,16071,16075,16076
104,"Namibia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,16,35,46,69,87,98,111,120,123,128,131,133,133,134,138,145,150,152,160,171,187,213,251,280,317,350,371,386,402,420,437,458,492,508,533,564,602,624,643,683,705,763,818,905,993,1134,1345,1626,1911,2467,2760,3044,3182,3271,3333,3370,3407,3431,3466,3492,3515,3524,3538,3546,3552,3561,3564,3567,3573,3573,3577,3581,3608,3645,3705,3814,3914,3963,3977,3993,4001,4007,4013,4014,4015,4018,4019,4021,4022,4023,4025,4026,4028,4031,4035
105,"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,18,22,28,34,38,40,45,56,73,102,146,207,280,336,401,467,528,614,727,842,937,1087,1215,1305,1454,1577,1689,1777,1819,1870,1912,1954,1994,2027,2035,2054,2061,2773,3010,3014,3016,3027,3032,3039,3075,3136,3298,3632,4856,6153,7163,7799,8366,8675,8975,9198,9362,9527,9695,9857,10038,10259,10485,10690,10818,10936,11028,11087,11157,11221,11278,11345,11399,11439,11471,11495,11521,11540,11553,11572,11583,11594,11602,11617,11651,11703,11803,11882,11917,11934,11945,11950,11950,11951,11951,11951,11951,11951,11951,11952,11952,11952,11952
106,"Netherlands",0,0,0,0,0,0,1,12,137,640,1656,2653,3613,4424,5003,5441,5689,5830,5970,6030,6076,6108,6124,6145,6156,6155,6159,6167,6178,6191,6225,6252,6275,6291,6320,6415,6503,6624,6797,7081,7459,8028,8516,8946,9403,9743,10104,10546,11062,11660,12406,13066,13616,14069,14468,14913,15323,15668,15931,16176,16395,16592,16766,16939,17114,17269,17421,17578,17703,17810,17889,17950,17987,18007,18023,18039,18049,18060,18082,18114,18160,18212,18268,18339,18408,18450,18502,18555,18596,18629,18674,18750,18836,18995,19171,19400,19721,20092,20530,20881,21170,21419,21545,21634,21716,21797,21874,21955,22049,22106,22221,22313,22399,22508,22626,22702,22780,22832,22870,22898,22922,22937,22946
107,"New Zealand",0,0,0,0,0,0,0,0,0,0,1,4,11,18,20,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,28,28,28,28,31,33,39,43,44,46,49,50,51,51,52,52,52,53,53,53,56,65,101,151,223,350,457,554,636,708,811,924,1008,1108
108,"Nicaragua",0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,5,8,17,35,46,55,64,74,83,91,99,108,116,123,128,133,137,141,144,147,149,151,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,188,189,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,218,219,220,221,222,223,224,225,226,228,229,230,231,232,233,234,235,236,237,238
109,"Niger",0,0,0,0,0,0,0,0,0,1,8,11,19,27,35,45,51,61,64,65,66,67,67,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,77,80,86,94,110,126,138,151,159,165,169,170,172,172,181,185,185,188,188,190,191,191,192,192,192,192,192,192,193,193,194,194,194,195,195,196,196,196,198,199,199,201,201,203,204,204,207,212,220,231,238,254,261,267,272,274,276,280,287,295,298,302,303,303,306,307,308,308,308,308,308,308,309,309,309,310,310,310
110,"Nigeria",0,0,0,0,0,0,0,0,0,1,4,10,19,35,85,128,176,221,273,342,407,506,558,634,724,778,856,883,942,974,997,1011,1054,1078,1095,1106,1113,1115,1123,1129,1144,1155,1163,1166,1171,1180,1194,1218,1247,1302,1350,1420,1502,1578,1647,1747,1831,1905,1964,2013,2030,2041,2058,2060,2061,2061,2063,2065,2066,2067,2071,2117,2117,2117,2119,2121,2122,2126,2132,2149,2185,2219,2247,2361,2522,2590,2654,2673,2724,2745,2804,2856,2895,2905,2960,2973,2975,2980,2981,2984,3014,3033,3071,3095,3124,3135,3139,3141,3142,3142,3142,3142,3142,3142,3142,3142,3143,3143,3143,3143,3143,3143,3143
111,"North Macedonia",0,0,0,0,0,0,0,0,0,4,17,34,49,59,82,91,98,113,131,151,179,233,277,334,376,414,460,493,523,539,563,596,614,646,689,722,753,785,824,897,994,1110,1281,1487,1699,1901,2096,2274,2427,2522,2614,2696,2779,2848,2916,2976,3047,3126,3185,3300,3448,3642,3905,4182,4419,4650,4891,5079,5197,5296,5398,5448,5471,5475,5484,5486,5487,5487,5489,5493,5503,5542,5654,5842,6045,6236,6437,6577,6683,6817,6922,7036,7121,7217,7320,7418,7528,7631,7723,7801,7894,7969,8023,8092,8198,8362,8549,8736,8891,8994,9075,9137,9172,9203,9226,9244,9261,9271,9280,9284,9289,9296,9300
112,"Norway",0,0,0,0,0,0,0,3,7,23,62,119,164,201,211,219,232,235,236,238,242,244,249,251,252,255,255,255,256,261,264,264,264,265,267,270,275,275,278,279,282,285,294,306,328,354,387,404,421,436,472,517,544,564,582,592,607,622,632,639,648,656,673,684,708,736,756,767,774,781,783,785,789,790,792,794,796,796,799,799,804,808,811,814,822,827,841,850,861,871,884,894,900,922,950,999,1050,1093,1136,1204,1257,1305,1350,1381,1414,1439,1467,1513,1548,1598,1664,1753,2169,2339,2518,2667,2783,2871,2932,3006,3061,3094,3141
113,"Oman",0,0,0,0,0,0,0,0,0,0,2,3,6,10,12,17,21,36,42,72,99,128,159,203,248,308,371,421,509,562,609,650,705,762,818,885,935,1009,1071,1147,1208,1286,1326,1365,1391,1435,1463,1483,1491,1499,1505,1509,1517,1527,1532,1539,1549,1562,1583,1600,1620,1650,1681,1747,1821,1942,2010,2083,2148,2239,2303,2385,2467,2626,2848,3140,3371,3498,3498,3814,3906,3974,4020,4049,4070,4084,4092,4093,4096,4101,4103,4107,4111,4112,4113,4113,4113,4113,4113,4113,4113,4116,4117,4119,4125,4134,4158,4195,4225,4238,4248,4250,4250,4250,4250,4253,4257,4257,4258,4258,4259,4260,4260
114,"Pakistan",0,0,0,0,0,0,0,0,5,14,47,91,168,281,457,659,873,1133,1483,2002,2551,3501,4118,4619,5197,5568,5822,5951,6068,6162,6231,6284,6340,6379,6416,6457,6513,6570,6654,6736,6823,6968,7141,7662,7985,8361,8796,9330,9874,10311,10644,10951,11295,11657,11967,12307,12601,12860,13205,13508,13843,14215,14778,15443,16243,17117,18070,18915,19543,20251,20736,21265,21689,21940,22211,22408,22582,22781,23016,23422,23865,24406,24923,25604,26175,26720,27206,27566,27866,28106,28269,28377,28449,28538,28595,28659,28709,28767,28830,28872,28907,28941,28969,29012,29097,29248,29478,29772,30009,30173,30265,30307,30329,30345,30361,30361,30363,30369,30369,30369,30376,30379,30379
115,"Panama",0,0,0,0,0,0,0,1,1,14,41,74,116,159,197,237,269,299,330,386,429,493,592,720,893,1071,1275,1449,1609,1746,1878,1983,2075,2155,2247,2323,2414,2482,2557,2628,2700,2781,2867,2946,3039,3173,3331,3527,3799,4103,4406,4738,5034,5244,5455,5621,5727,5831,5910,5987,6042,6090,6131,6159,6187,6207,6235,6265,6296,6328,6369,6395,6439,6468,6514,6567,6627,6697,6750,6823,6894,6947,7003,7043,7081,7131,7170,7201,7236,7264,7288,7307,7315,7325,7341,7352,7361,7371,7386,7398,7411,7430,7458,7511,7574,7698,7813,7938,8000,8073,8111,8131,8153,8163,8170,8174,8178,8182,8184,8192,8203,8221,8247
116,"Papua New Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,10,12,16,21,36,39,60,68,82,102,115,121,136,154,162,164,164,173,173,173,177,179,192,192,192,192,192,192,192,196,204,225,234,245,266,329,367,406,430,484,542,550,573,589,589,590,591,596,596,597,597,610,628,638,638,639,639,640,640,643,649,649,650,651,651,651,651
117,"Paraguay",0,0,0,0,0,0,0,0,1,3,3,6,8,9,10,10,11,11,11,11,11,13,15,20,21,29,40,52,72,127,192,294,412,514,636,782,913,1065,1179,1293,1404,1479,1569,1652,1731,1833,1937,2072,2174,2279,2388,2496,2608,2705,2807,2920,3045,3167,3294,3456,3695,4003,4344,4749,5251,5802,6476,7050,7534,8235,8987,9739,10699,11521,12365,13235,13867,14230,14593,14981,15268,15420,15550,15698,15989,16093,16123,16142,16200,16206,16209,16229,16245,16258,16278,16354,16367,16476,16500,16523,16596,16624,16658,16670,16887,17231,17558,17844,18191,18315,18460,18529,18577,18663,18731,18734,18734,18795,18870,18872,18872,18885,18894
118,"Peru",0,0,0,0,0,0,1,3,30,86,258,753,1628,3198,5589,8740,12333,16101,20111,24225,28386,32574,36337,40108,43952,48645,52295,56614,61066,65456,69312,72801,75540,77825,79722,81365,82638,83825,84829,85711,86494,87236,87954,88598,89272,89957,90676,91480,92352,93377,94756,96652,99411,103081,107279,111945,116833,121814,126419,130891,135914,140281,145725,150851,156810,162170,167398,172525,176632,180159,182982,186073,188100,189933,191447,192687,193230,195047,195795,196353,196873,197340,197818,198115,198447,198728,198976,199228,199457,199641,199816,200019,200217,200409,200605,200833,201071,201360,201733,202154,202488,202741,203019,203376,204141,205112,206891,208120,209298,210407,211032,211482,211814,212102,212299,212471,212619,212724,212810,212933,213013,213098,213162
119,"Philippines",0,0,1,1,1,1,1,8,19,68,144,247,397,494,603,704,817,863,950,994,1074,1150,1236,1290,1372,1773,1897,2039,2209,2600,2966,3419,3790,4292,4930,5284,5678,6238,6603,6934,7221,7485,7791,8080,8333,8526,8730,8911,9067,9253,9398,9884,10190,10669,11110,11507,12068,12289,12465,12766,12930,13159,13423,14744,15810,16674,17354,18269,19051,19946,20722,21732,22652,23538,24244,25063,25816,26598,27131,27889,28835,30070,31596,33008,34062,34978,36583,37405,38656,39505,40580,41585,43044,44239,45272,46903,48205,49230,50096,50675,51187,51545,52135,52858,53406,53871,54214,54930,55607,56351,56879,57441,58023,58884,59324,59730,59964,60179,60341,60439,60455,60455,60455
120,"Poland",0,0,0,0,0,0,0,3,5,18,79,208,347,524,664,785,915,993,1061,1153,1237,1346,1435,1512,1568,1618,1664,1721,1800,1869,1951,2032,2113,2182,2282,2424,2604,2972,3524,4351,5631,7636,10045,13288,16746,19861,22676,25254,27061,29058,31011,33213,35253,37082,38994,40709,42077,43656,45159,47068,49159,51753,54737,58176,61825,65222,67924,69866,71609,72882,73682,74139,74562,74823,74974,75083,75159,75212,75241,75261,75285,75299,75316,75340,75379,75425,75487,75571,75689,75864,76111,76434,76990,77733,78821,80781,82986,85630,88414,91415,94311,97559,99720,102270,103819,105138,106578,108089,109792,111277,112535,113434,114206,114821,115343,115635,115838,115948,116059,116138,116207,116268,116311
