id,Country,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14
103,"Morocco",3928.19509419846,4118.82994210537,4310.29822322545,4504.07902792335,4700.49667037356,4899.34181099173,5114.92051335509,5348.94698898431,5567.08083415647,5789.43533762499,6016.53046807157,6248.73892412982,6486.44082113278,6730.10676039322,6978.08319569376,7228.19958292006,7483.22434521448,7743.26295833884,8008.35725840551,8278.49828327657
104,"Namibia",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
105,"Nepal",52.545893991882,56.4399608305902,60.0970503147974,63.8575403185832,67.6747572915219,71.5261554715437,75.5036627895394,79.9366026115333,84.246859069217,88.6226073026741,93.1114444136093,97.7148949283944,102.442067911848,107.307053684468,112.311693886482,117.406297033642,122.624325482682,127.974895689181,133.461068719195,139.086147427149
106,"Netherlands",37494.4854220588,38338.6619647581,39162.2364554115,39977.2625080109,40789.9469136334,41607.5628499451,42487.8737054153,43438.1905785299,44294.7564383126,45153.0644483057,46016.3341073072,46886.5113403216,47764.9277464851,48652.0585990213,49540.1256264222,50419.1783848578,51301.424929239,52187.0738600995,53075.9000461851,53967.3657012693
107,"New Zealand",1467.21800789519,1473.49226670336,1479.42658125746,1485.02903567813,1490.47030787289,1495.83637565941,1501.56798721107,1507.70088015481,1513.14937178769,1518.48671921943,1523.74371640564,1528.95421360811,1534.13364571725,1539.28795340607,1544.36455802758,1549.29899498195,1554.16424198653,1558.96594572266,1563.7063683719,1568.38352079172
108,"Nicaragua",11.2320008402414,11.461864566355,11.6797357198124,11.8847569451403,12.0899665457117,12.309676116905,12.5450075636381,12.7828933003993,13.0231758941873,13.2663128345829,13.5125184092563,13.7478954201597,13.985797103092,14.2334553482013,14.4868451541251,14.7182131499565,14.949679791551,15.1820968238927,15.416437262414,15.6528345421164
109,"Niger",688.171916216669,695.8710939256,702.669320641621,709.441202289669,716.26163330325,723.110840768968,730.33855623223,738.042066636196,744.552932294841,750.908654247516,757.20660246781,763.442673800254,769.602451468287,775.672217988684,781.590805395041,787.276358535796,792.854160565508,798.330398960578,803.699356768345,808.955106349731
110,"Nigeria",1189.48391342714,1314.40461503123,1455.10935349719,1608.52934548028,1774.84441998276,1955.44882099256,2162.1704963436,2393.89263408413,2630.57411196476,2889.21766038099,3171.03724846939,3478.08844136104,3812.79538533184,4177.78458586302,4573.87433319547,5002.26316316419,5468.32338646381,5975.14175620612,6526.17298693275,7125.14666911653
111,"North Macedonia",1351.8174459335,1378.55705213019,1404.84181717546,1430.83139099626,1456.81918667864,1483.11162385172,1511.56325857572,1541.75014513285,1568.22459726371,1594.66175338839,1621.1198144718,1647.64283822912,1674.24012460258,1700.87956059485,1727.26607482047,1753.12257292539,1778.89262253843,1804.56937635451,1830.13692155474,1855.57098804055
112,"Norway",7527.54226365356,7598.16853457127,7670.41357985965,7741.54938682393,7812.42452002253,7882.44543311871,7956.86351113238,8034.34547387628,8104.94552407528,8175.54096769018,8245.90566645701,8316.16200296501,8386.331198121,8456.52010585994,8526.1189751138,8594.61886887281,8662.82533428125,8730.69815344557,8798.22300663412,8865.36653430491
113,"Oman",1887.07240324124,1996.77486220419,2108.3444959634,2220.31499873053,2333.03208260193,2446.98998593587,2571.08607269026,2706.87014254164,2835.6410317215,2967.4032844947,3102.33320839995,3240.86507597778,3383.44700731034,3530.51981252695,3681.19615382621,3834.20606923726,3991.017097791,4151.75599352555,4316.5417009335,4485.44362356784
114,"Pakistan",12578.4213280141,13353.6834697442,14178.6986619252,15051.1546151526,15970.2945801731,16942.8883593393,17974.8990637772,19068.2941016203,20211.6348644166,21416.994602063,22683.0007742143,24007.1194728346,25393.3710735107,26870.4856518849,28454.0969768885,30054.42836551,31737.2054237328,33505.7468738292,35363.9702565346,37316.3491188707
115,"Panama",5509.77692535536,5715.01975715715,5923.83337062061,6139.8174822658,6359.5122407303,6580.20042095725,6818.13673162584,7074.88208198597,7309.88445408096,7549.34128143193,7793.38444168166,8041.62515822203,8294.13574970344,8551.40722967865,8811.56440249647,9072.21683055272,9336.70185620101,9604.92540515795,9876.75951153156,10152.115367297
116,"Papua New Guinea",8.66737321288314,9.44911679300636,10.2801264557663,11.1779693702604,12.0115245924899,12.7767406780274,13.4656952598305,14.0808134880974,14.6476232151095,15.3066831039793,16.0403027908674,16.8580139157904,17.7604671989963,18.7548280341194,19.8278405934009,20.9226380646026,22.0216220183319,23.1250597605485,24.229578809081,25.3500283349353
