place,week_ahead,quantile,value
Texas,6,0.975,78987.1656274187
Texas,7,point,54667
Texas,7,0.025,42626.7239785439
Texas,7,0.1,45279.4120041531
Texas,7,0.25,48882.6503267037
Texas,7,0.5,54667
Texas,7,0.75,61753.6929446876
Texas,7,0.9,67258.8596211544
Texas,7,0.975,72898.3504624434
Nebraska,1,point,2975
Nebraska,1,0.025,2625.03732939013
Nebraska,1,0.1,2635.87764367508
Nebraska,1,0.25,2750.8069822263
Nebraska,1,0.5,2975
Nebraska,1,0.75,3663.89269421847
Nebraska,1,0.9,4222.04275444908
Nebraska,1,0.975,4246.76317690406
Nebraska,2,point,2689
Nebraska,2,0.025,2310.51923973897
Nebraska,2,0.1,2322.13520004495
Nebraska,2,0.25,2446.57687416075
Nebraska,2,0.5,2689
Nebraska,2,0.75,3442.7406257493
Nebraska,2,0.9,4065.71370801489
Nebraska,2,0.975,4094.95371661089
Nebraska,3,point,2412
Nebraska,3,0.025,2003.2082272964
Nebraska,3,0.1,2014.96250800265
Nebraska,3,0.25,2141.41364916227
Nebraska,3,0.5,2412
Nebraska,3,0.75,3193.7153061619
Nebraska,3,0.9,3857.83767033567
Nebraska,3,0.975,3890.48142620331
Nebraska,4,point,2181
Nebraska,4,0.025,1717.12741220323
Nebraska,4,0.1,1730.08631257155
Nebraska,4,0.25,1873.61589477628
Nebraska,4,0.5,2181
Nebraska,4,0.75,3043.22960602712
Nebraska,4,0.9,3791.2021399744
Nebraska,4,0.975,3831.26774418726
Nebraska,5,point,1958
Nebraska,5,0.025,1494.29643099876
Nebraska,5,0.1,1506.23869224965
Nebraska,5,0.25,1637.6090975808
Nebraska,5,0.5,1958
Nebraska,5,0.75,2863.84027124014
Nebraska,5,0.9,3712.66980598534
Nebraska,5,0.975,3761.24375507009
Nebraska,6,point,1762
Nebraska,6,0.025,1303.81468954008
Nebraska,6,0.1,1315.07599092906
Nebraska,6,0.25,1438.55843292937
Nebraska,6,0.5,1762
Nebraska,6,0.75,2688.65735052733
Nebraska,6,0.9,3584.40230505705
Nebraska,6,0.975,3637.11487524541
Nebraska,7,point,1584
Nebraska,7,0.025,1127.76459579161
Nebraska,7,0.1,1138.13203152056
Nebraska,7,0.25,1251.7823939178
Nebraska,7,0.5,1584
Nebraska,7,0.75,2503.44832725584
Nebraska,7,0.9,3425.29421717196
Nebraska,7,0.975,3481.31138841676
Utah,1,point,8591
Utah,1,0.025,7682.73652738612
Utah,1,0.1,7754.61663347068
Utah,1,0.25,8258.09165588954
Utah,1,0.5,8591
Utah,1,0.75,10167.5894657106
Utah,1,0.9,15180.639867494
Utah,1,0.975,15327.1876880747
Utah,2,point,7531
Utah,2,0.025,6497.11130606192
Utah,2,0.1,6572.07826670081
Utah,2,0.25,7139.6368908663
Utah,2,0.5,7531
Utah,2,0.75,9190.68304567072
Utah,2,0.9,14915.0164127348
Utah,2,0.975,15094.0305773312
Utah,3,point,6554
Utah,3,0.025,5445.61954933686
Utah,3,0.1,5520.81818589923
Utah,3,0.25,6118.89522456712
Utah,3,0.5,6554
Utah,3,0.75,8257.60945749952
Utah,3,0.9,14687.623149203
Utah,3,0.975,14905.3892369318
Utah,4,point,5669
Utah,4,0.025,4362.33904385272
Utah,4,0.1,4440.34660505472
Utah,4,0.25,5133.67125209905
Utah,4,0.5,5669
Utah,4,0.75,7464.86890999278
Utah,4,0.9,15228.2033836675
Utah,4,0.975,15521.628181715
Utah,5,point,4881
Utah,5,0.025,3557.91233326914
Utah,5,0.1,3631.3020434993
Utah,5,0.25,4316.02151568699
Utah,5,0.5,4881
Utah,5,0.75,6710.16072213737
Utah,5,0.9,15848.3628089478
Utah,5,0.975,16240.8433646108
Utah,6,point,4182
Utah,6,0.025,2863.81362318146
Utah,6,0.1,2933.93859826872
Utah,6,0.25,3607.10461645832
Utah,6,0.5,4182
Utah,6,0.75,6018.34400182387
Utah,6,0.9,15815.1110348166
Utah,6,0.975,16253.1045067288
Utah,7,point,3570
Utah,7,0.025,2282.67295021217
Utah,7,0.1,2348.09707556124
Utah,7,0.25,2992.38195667889
Utah,7,0.5,3570
Utah,7,0.75,5382.13740724814
Utah,7,0.9,15825.099363603
Utah,7,0.975,16316.9529272716
Oregon,1,point,4929
Oregon,1,0.025,3247.75738680903
Oregon,1,0.1,3253.43514665805
Oregon,1,0.25,3851.40286011499
Oregon,1,0.5,4929
Oregon,1,0.75,5093.06304864446
Oregon,1,0.9,5663.93071057497
Oregon,1,0.975,5687.35376959178
Oregon,2,point,4866
Oregon,2,0.025,2982.7354684236
Oregon,2,0.1,2989.00038239282
Oregon,2,0.25,3634.09756656073
Oregon,2,0.5,4866
Oregon,2,0.75,5061.42146032616
Oregon,2,0.9,5751.60302398174
Oregon,2,0.975,5782.03962707373
Oregon,3,point,4766
Oregon,3,0.025,2715.90621029398
Oregon,3,0.1,2722.57660310754
Oregon,3,0.25,3399.02007408163
Oregon,3,0.5,4766
Oregon,3,0.75,4991.74901892136
Oregon,3,0.9,5801.04596295027
Oregon,3,0.975,5839.32589091612
Oregon,4,point,4673
Oregon,4,0.025,2285.99265441666
