,Country/Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20
35,Congo (Kinshasa),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,14.0,18.0,23.0,30.0,36.0,45.0,48.0,51.0,51.0,65.0,65.0,81.0,98.0,109.0,134.0,134.0,154.0,154.0,161.0,180.0,180.0,180.0,215.0,223.0,234.0,235.0,241.0,254.0,267.0,287.0
36,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,9.0,13.0,22.0,23.0,26.0,27.0,35.0,41.0,50.0,69.0,89.0,117.0,134.0,158.0,177.0,201.0,231.0,263.0,295.0,314.0,330.0,347.0,375.0,396.0,416.0,435.0,454.0,467.0,483.0,502.0,539.0,558.0,577.0,595.0,612.0,618.0,626.0,642.0,649.0
37,Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,9.0,9.0,14.0,14.0,25.0,73.0,80.0,96.0,101.0,101.0,165.0,168.0,179.0,190.0,194.0,218.0,245.0,261.0,323.0,349.0,384.0,444.0,444.0,533.0,574.0,626.0,638.0,638.0,654.0,688.0
38,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,6.0,7.0,7.0,9.0,10.0,10.0,11.0,12.0,12.0,12.0,14.0,19.0,19.0,32.0,38.0,49.0,57.0,65.0,81.0,105.0,128.0,206.0,254.0,315.0,382.0,442.0,495.0,586.0,657.0,713.0,790.0,867.0,963.0,1011.0,1079.0,1126.0,1182.0,1222.0,1282.0,1343.0,1407.0,1495.0,1534.0,1600.0,1650.0,1704.0,1741.0,1791.0,1814.0
39,Diamond Princess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,64.0,135.0,135.0,175.0,175.0,218.0,285.0,355.0,454.0,542.0,621.0,634.0,634.0,634.0,691.0,691.0,691.0,705.0,705.0,705.0,705.0,705.0,705.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0
40,Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,11.0,16.0,21.0,35.0,40.0,48.0,57.0,67.0,80.0,119.0,139.0,170.0,186.0,212.0,233.0,269.0,288.0,320.0,350.0,396.0,457.0,515.0,564.0,620.0,669.0,726.0,766.0,814.0,862.0,923.0
41,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,6.0,14.0,26.0,26.0,33.0,46.0,49.0,67.0,67.0,84.0,95.0,116.0,124.0,132.0,146.0,162.0,179.0,214.0,230.0,262.0,320.0,356.0,396.0,426.0,446.0,465.0,494.0,526.0,564.0,595.0,616.0,633.0,662.0,695.0,715.0,735.0,750.0
42,Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,8.0,12.0,18.0,19.0,31.0,31.0,41.0,91.0,94.0,141.0,189.0,253.0,298.0,396.0,464.0,694.0,833.0,995.0,1120.0,1236.0,1394.0,1654.0,1925.0,2279.0,2631.0,2817.0,3001.0,3308.0,3508.0,3858.0,4091.0,4472.0,4587.0,4822.0,5017.0,5312.0,5569.0,5732.0,5831.0,5991.0,6059.0,6111.0,6216.0,6433.0,6549.0
43,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,6.0,11.0,11.0,24.0,24.0,37.0,92.0,264.0,444.0,617.0,804.0,836.0,875.0,933.0,1025.0,1116.0,1225.0,1337.0,1420.0,1514.0,1572.0,1718.0,1862.0,2023.0,2200.0,2366.0,2564.0,2755.0,3039.0,3290.0,3573.0,3946.0,4269.0,4561.0,4875.0,5266.0,5597.0,5830.0,6014.0,6191.0,6369.0,6513.0,6706.0,6876.0,7074.0,7268.0
44,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,11.0,11.0,12.0,14.0,18.0,18.0,30.0,33.0,40.0,49.0,50.0,59.0,90.0,90.0,135.0,135.0,150.0,187.0,214.0,298.0,363.0,435.0,591.0,732.0
45,Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,21.0,21.0,34.0,72.0,112.0,202.0,245.0,312.0,392.0,488.0,581.0,719.0,859.0,901.0,1109.0,1284.0,1380.0,1488.0,1488.0,1745.0,1828.0,1956.0,2111.0,2349.0,2620.0,2759.0,2967.0,3167.0,3286.0,3614.0,3755.0,4126.0
46,Ecuador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,10.0,13.0,13.0,13.0,14.0,15.0,15.0,17.0,17.0,17.0,28.0,28.0,37.0,58.0,111.0,199.0,367.0,506.0,789.0,981.0,1082.0,1173.0,1403.0,1595.0,1823.0,1924.0,1962.0,2240.0,2748.0,3163.0,3368.0,3465.0,3646.0,3747.0,3747.0,4450.0,4965.0,7161.0,7257.0,7466.0,7529.0,7603.0,7858.0,8225.0,8450.0
47,Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,15.0,15.0,49.0,55.0,59.0,60.0,67.0,80.0,109.0,110.0,150.0,196.0,196.0,256.0,285.0,294.0,327.0,366.0,402.0,456.0,495.0,536.0,576.0,609.0,656.0,710.0,779.0,865.0,985.0,1070.0,1173.0,1322.0,1450.0,1560.0,1699.0,1794.0,1939.0,2065.0,2190.0,2350.0,2505.0,2673.0,2844.0
48,El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,9.0,13.0,13.0,19.0,24.0,30.0,32.0,32.0,41.0,46.0,56.0,62.0,69.0,78.0,93.0,103.0,117.0,118.0,125.0,137.0,149.0,159.0,164.0,177.0
49,Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,21.0,21.0,41.0,51.0,51.0,79.0
50,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,6.0,12.0,12.0,15.0,15.0,22.0,22.0,29.0,29.0,31.0,31.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,35.0
51,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,10.0,10.0,10.0,10.0,12.0,16.0,16.0,79.0,115.0,171.0,205.0,225.0,258.0,267.0,283.0,306.0,326.0,352.0,369.0,404.0,538.0,575.0,645.0,679.0,715.0,745.0,779.0,858.0,961.0,1039.0,1097.0,1108.0,1149.0,1185.0,1207.0,1258.0,1304.0,1309.0,1332.0,1373.0,1400.0,1434.0,1459.0
52,Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,12.0,12.0,12.0,12.0,14.0,15.0,15.0,15.0,16.0,16.0
53,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,9.0,9.0,11.0,11.0,12.0,12.0,12.0,16.0,16.0,21.0,23.0,26.0,29.0,29.0,35.0,38.0,43.0,44.0,52.0,55.0,56.0,65.0,69.0,71.0,74.0,82.0,85.0,92.0,96.0
54,Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,12.0,12.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0
55,Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,6.0,12.0,15.0,15.0,23.0,30.0,40.0,59.0,59.0,155.0,225.0,244.0,277.0,321.0,336.0,400.0,450.0,523.0,626.0,700.0,792.0,880.0,958.0,1041.0,1167.0,1240.0,1352.0,1418.0,1446.0,1518.0,1615.0,1882.0,1927.0,2176.0,2308.0,2487.0,2605.0,2769.0,2905.0,2974.0,3064.0,3161.0,3237.0,3369.0,3489.0
56,France,0.0,0.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,18.0,38.0,57.0,100.0,130.0,191.0,204.0,288.0,380.0,656.0,959.0,1136.0,1219.0,1794.0,2293.0,2293.0,3681.0,4496.0,4532.0,6683.0,7715.0,9124.0,10970.0,12758.0,14463.0,16243.0,20123.0,22622.0,25600.0,29551.0,33402.0,38105.0,40708.0,45170.0,52827.0,57749.0,59929.0,65202.0,69500.0,71412.0,75343.0,79163.0,83057.0,87366.0,91738.0,94863.0,121712.0,125394.0,131361.0,134582.0,147091.0,149130.0
57,Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,16.0,18.0,21.0,21.0,21.0,21.0,24.0,30.0,34.0,44.0,44.0,46.0,49.0,57.0,57.0,80.0,80.0,108.0
58,Gambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
59,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,13.0,15.0,15.0,24.0,24.0,25.0,30.0,33.0,33.0,34.0,38.0,40.0,43.0,49.0,54.0,61.0,70.0,75.0,79.0,83.0,90.0,91.0,103.0,110.0,117.0,134.0,155.0,162.0,174.0,188.0,196.0,211.0,218.0,234.0,242.0,257.0,272.0,300.0,306.0,348.0,370.0
60,Germany,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,8.0,10.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,27.0,46.0,48.0,79.0,130.0,159.0,196.0,262.0,482.0,670.0,799.0,1040.0,1176.0,1457.0,1908.0,2078.0,3675.0,4585.0,5795.0,7272.0,9257.0,12327.0,15320.0,19848.0,22213.0,24873.0,29056.0,32986.0,37323.0,43938.0,50871.0,57695.0,62095.0,66885.0,71808.0,77872.0,84794.0,91159.0,96092.0,100123.0,103374.0,107663.0,113296.0,118181.0,122171.0,124908.0,127854.0,130072.0,131359.0,134753.0,137698.0,141397.0
61,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,7.0,7.0,11.0,16.0,19.0,23.0,27.0,53.0,93.0,132.0,137.0,141.0,152.0,152.0,161.0,195.0,204.0,205.0,205.0,214.0,214.0,287.0,313.0,378.0,378.0,408.0,566.0,566.0,636.0,636.0,641.0,641.0
62,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,7.0,7.0,7.0,9.0,31.0,45.0,46.0,73.0,73.0,89.0,99.0,99.0,190.0,228.0,331.0,331.0,387.0,418.0,418.0,495.0,530.0,624.0,695.0,743.0,821.0,892.0,966.0,1061.0,1156.0,1212.0,1314.0,1415.0,1544.0,1613.0,1673.0,1735.0,1755.0,1832.0,1884.0,1955.0,2011.0,2081.0,2114.0,2145.0,2170.0,2192.0,2207.0,2224.0
63,Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,6.0,9.0,12.0,17.0,19.0,20.0,21.0,24.0,25.0,28.0,34.0,34.0,36.0,38.0,39.0,47.0,50.0,61.0,61.0,70.0,77.0,87.0,95.0,126.0,137.0,155.0,156.0,167.0,180.0,196.0,214.0
64,Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,8.0,8.0,16.0,22.0,22.0,30.0,52.0,73.0,111.0,121.0,128.0,144.0,164.0,194.0,212.0,250.0,250.0,319.0,363.0,404.0,438.0,477.0
65,Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,19.0,20.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,12.0,19.0,19.0,23.0,23.0,24.0,31.0,33.0,37.0,37.0,37.0,45.0,45.0,45.0,47.0,55.0,55.0,63.0
66,Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,7.0,8.0,8.0,8.0,8.0,15.0,15.0,15.0,16.0,16.0,18.0,20.0,21.0,24.0,25.0,27.0,30.0,31.0,33.0,33.0,40.0,40.0,41.0,41.0,43.0
67,Holy See,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
68,Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,6.0,8.0,9.0,12.0,24.0,24.0,26.0,30.0,30.0,36.0,52.0,68.0,95.0,110.0,139.0,141.0,172.0,219.0,222.0,264.0,268.0,298.0,305.0,312.0,343.0,382.0,392.0,393.0,397.0,407.0,419.0,426.0,442.0
69,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,7.0,9.0,9.0,13.0,13.0,19.0,30.0,32.0,39.0,50.0,58.0,73.0,85.0,103.0,131.0,167.0,187.0,226.0,261.0,300.0,343.0,408.0,447.0,492.0,525.0,585.0,623.0,678.0,733.0,744.0,817.0,895.0,980.0,1190.0,1310.0,1410.0,1458.0,1512.0,1579.0,1652.0,1763.0
70,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,11.0,26.0,34.0,43.0,50.0,50.0,58.0,69.0,85.0,103.0,134.0,156.0,171.0,180.0,220.0,250.0,330.0,409.0,473.0,568.0,588.0,648.0,737.0,802.0,890.0,963.0,1020.0,1086.0,1135.0,1220.0,1319.0,1364.0,1417.0,1486.0,1562.0,1586.0,1616.0,1648.0,1675.0,1689.0,1701.0,1711.0,1720.0,1727.0,1739.0,1754.0
