id,Region,2020-03-11,2020-03-18,2020-03-25,2020-04-01,2020-04-08,2020-04-15,2020-04-22,2020-04-29,2020-05-06,2020-05-13,2020-05-20,2020-05-27,2020-06-03,2020-06-10,2020-06-17
73,"Iran",0.149963973296994,0.106914659017459,0.0122947606593125,NaN,0.092010458588481,0.0841056352137157,0.0781128800079859,0.0734949073108874,0.000970674158621065,0.00506750512177701,0.0141164809877403,0.0124888660440947,0.00526796828345921,0.0467697870796827,0.00133858305060897
74,"Iraq",0.114414456429047,0.0595274809964781,0.0195571728553565,0.0850851116049129,0.109362691858687,0.0980238084521977,0.00748515308156517,0.0153792838044869,0.0190488983037307,0.0115818100330491,0.0105048855582457,0.0285700566584173,0.0148999524683224,0.0500763532986954,0.0358669949138319
75,"Ireland",NaN,NaN,0.118942511156986,0.0819304345374376,0.0138225893820288,NaN,0.092516735580109,0.0880918142539965,0.083972872365963,0.0809451082401657,0.078371199492781,0.0759966652507349,0.0158683953957933,0.0719354530147566,0.0701319817316511
76,"Israel",1.57579470379488,0.0322046536148117,NaN,0.150874426318973,0.121266927190696,0.10697410191934,0.100015983475094,0.0970535037398842,0.0936993996474129,0.0905549757684992,0.0877778208485763,0.0114719360763171,NaN,0.0181526935617984,0.0127376951931066
77,"Italy",0.0850930221273516,0.109326978405403,0.108863699936001,0.0949414939305367,0.0831251204565789,0.0755754064674634,0.0709389486616974,0.0680424357737422,0.0654507224275618,0.0631368919048952,0.0610744389062732,0.0592340568689486,0.0575466366246783,0.0559940880427543,0.0545660339893854
78,"Jamaica",0.308325766640666,0.202604612078478,0.131239031865605,0.0139015990128013,0.250878560571438,0.0396526730081042,NaN,0.119673088837412,0.115184508082087,0.110810608163349,0.0118702829352542,NaN,0.0999984376898906,0.0160361644771603,0.328579845325687
79,"Japan",NaN,0.120738647015162,0.0339085082243993,0.0364243492388323,0.0130860213606796,0.0994940406065898,0.0990070163301248,0.094193929731382,0.0903408865763337,0.0873227935869729,0.0845242713425,0.0819900839688175,0.0123459134012152,NaN,0.0146727365362727
80,"Jordan",0.0673300388502489,NaN,0.189144415270734,0.151386601530163,0.137273689593053,0.127944477840784,NaN,0.119682522477806,0.0176099064988859,0.0455614032629936,0.0195662253845215,0.099167879933631,0.0166513581537415,0.0772131261378479,0.0860688773830369
81,"Kazakhstan",0.29042448140531,0.297316792144699,0.0195341992075975,NaN,0.0822591790609957,0.00751298371134657,0.0437706183444535,0.0441682024431116,0.0510897483884216,0.0592005554940658,0.012467029609122,0.0360617861112429,0.0307622914164487,0.0515324936473305,0.00899211257800303
82,"Kenya",0.253937551799641,NaN,0.123712755742558,0.0810041955831698,0.145224220058185,0.00860025895941208,0.0350374045984649,0.019154646886278,0.0458223521980717,0.0694927790376578,0.0209034770983416,0.00873314459167873,0.0397006498008472,0.0358673399093121,0.00502467229587955
83,"Korea, South",0.217839480576569,0.198616958033412,0.0115905865819698,0.0299275955036031,0.164122789499586,0.156748561842657,0.150399849025161,0.144809041054758,0.0267804926774172,0.0627113066448851,0.0587623619701871,0.0170703706016995,0.021275642170405,0.011903704044955,0.00938858791440322
84,"Kuwait",0.0191384483419994,0.0700199083833063,0.215326144644037,NaN,0.103882881652985,0.0830166985452339,0.00760181024906692,NaN,0.0109488072358308,NaN,0.0600649193264855,0.0534755696457792,0.0383099831833142,0.0476868607692029,0.0452135369023174
85,"Kyrgyzstan",0.286768528389086,0.265551548647832,NaN,0.0942604530330504,0.00774864209496984,0.0948203805352408,0.0876045042172811,0.0794858201875028,0.0258989301388558,0.021356918018858,0.00905369087321262,0.00940077370329762,0.0382998745799058,0.0229693606587533,0.0116270545479842
86,"Latvia",0.11320345737777,0.15409442024863,0.127341325828525,0.125695062781781,0.113541180957584,0.102957102951216,0.0173638830132757,0.0895672046792356,0.0851710947618245,0.0177797079630058,0.0566515542017419,0.0761101513845609,0.0660294797252123,0.0719236417655342,0.0150300067229168
87,"Lebanon",0.0689008937454947,NaN,NaN,0.131598744328502,0.012887062063768,0.112452445510551,0.106651314079446,0.0778221093708775,NaN,0.351582094084254,0.0199453901062102,0.191330267770153,0.0131294775093471,NaN,0.0214828446114983
88,"Liberia",0.0708127564614867,NaN,0.459900851126707,0.0540369069309679,0.18534986343029,0.124992288193452,0.100319152569157,0.0833169844342079,0.0323272397741413,0.0733520153415029,0.00494348127945232,0.0689534726841519,0.00902384219942021,0.0164645268284558,0.0303463489130791
89,"Liechtenstein",0.0714286252485823,0.0178368341729079,0.171446861136907,NaN,0.133699384866938,0.165248650857791,0.0767082360993859,0.000567034841850193,0.00158353764944334,0.00158059810476298,0.00157753214162011,0.00157435525780825,0.00157108145641931,0.00156772335059391,0.000821122253728191
90,"Lithuania",0.143214359859982,NaN,0.1707337478473,0.132442142696122,0.118111398000222,0.103590659703141,0.087940533184517,0.108059352698464,0.0411985794670191,0.0220613529665903,0.00269697566753024,0.0905704302101713,0.0913136266955602,0.0063199350608365,0.069000076903706
91,"Luxembourg",0.116578241382236,0.246077896109496,0.177945018820067,0.143876877673105,0.131295015800083,0.122525063789527,0.116684227612098,0.111910393529987,0.107815417928603,0.0186841792000483,0.059946339597325,0.0979453249216263,0.0952452435502932,0.00909604366214012,0.0191944597590989
92,"Madagascar",0.344114571904,0.238864342946247,NaN,0.154142448162015,0.133460753670144,0.125256273145365,0.120529066151761,0.059375765191477,NaN,0.0119037136674145,NaN,0.0665500780618806,0.0422372896794561,0.0571582686600844,0.0122342443874339
93,"Malaysia",0.0504231093412602,NaN,0.119679027498512,0.0951810164603184,0.0845407647300975,0.0852740105326586,0.0806449688246595,0.0136425215564143,0.0516118868133596,0.0700076849816632,0.0115203381212445,0.0459597511187441,0.0521935454742288,0.0477131981997032,0.0401432734906914
94,"Maldives",NaN,0.252575741871226,0.0376580384092433,NaN,0.343771057116293,0.0348114316256782,0.138575496040314,0.141977296972465,0.100098375210922,0.0859138509278339,0.075130194378914,0.0257443747618991,0.0352511983486916,0.0735071210921103,0.00568128980081994
95,"Malta",0.181854343150284,0.199774873630234,0.150526491798972,0.123452048069514,0.0463885667888414,0.123076172664666,0.117127861380337,0.0118991144198787,0.472982305996078,0.0217389850767368,0.0425202131497044,0.0973599142769181,0.0120415775569516,0.0234322020374801,0.00930816815185309
96,"Mauritania",0.290013711992883,0.285759497591722,0.040960685940311,0.328790040368403,0.178923863319156,0.170879476228901,0.169348839336709,0.0669927282899823,0.855077116195744,0.112718200431065,0.127859864980463,0.0638070427981161,0.037778380828571,0.0273218180737198,0.0329415326620022
97,"Mauritius",0.122685552729834,0.0749621177569968,0.194852067345461,0.12519121376055,0.0118775685702622,0.0843097296082682,0.13985271754884,0.134631973310174,0.129946488781853,0.296085776585434,0.0797184596132977,0.0554079702589747,0.0966969482548441,0.107300972621381,0.109588356563861
98,"Mexico",0.0331710271139145,NaN,0.0955778165343468,0.0438516349839255,0.0301941281344686,0.0333409752607976,0.00806818255656627,0.0295822469594331,0.0265957087827708,0.0195466695351101,0.00313041446571027,0.0175844866518338,0.0157223634441845,0.0147784245738851,0.0128996221433111
99,"Moldova",0.104063660327878,0.140917643815491,0.080483985350952,0.0147736881804215,0.104947910547633,0.085871602361095,0.0707141609788671,0.0633666709681906,0.0573508667754536,0.00453123624671659,0.0176216781996748,0.000814728971859635,0.00220851418060275,0.00464729938845077,0.0226047352215141
100,"Monaco",0.192284986304029,NaN,0.169908125852102,0.122848054920908,0.0185438825256425,0.0940173683595803,0.122139318079392,0.137656075532151,0.0365295521868571,0.0813623493358978,0.130776858154796,0.0766507946956909,0.0013344364058938,0.097742399800237,0.0489910621645617
101,"Mongolia",NaN,0.301751662542184,0.214339374414146,0.187373598516667,0.276855276511111,0.104459142629417,0.176224958511315,0.165754125292459,0.187216184227577,0.173215222522902,0.185771349516695,0.0130338375056455,0.0363867742852395,0.16422163919703,0.0450588781551167
102,"Montenegro",0.141711210396677,0.298936357038949,0.164716455580013,0.155661600948071,0.0979726785730513,0.0536355241147561,0.0533770498336322,0.0478989051031235,0.0321986288906389,0.0016757579309287,0.00167066275706472,0.00166547496529315,0.849367829683573,0.0908766930925422,0.012998506329136
103,"Morocco",NaN,NaN,0.133328677378866,0.0992452369632575,0.07064585118597,0.00923008099710787,0.0765768572950309,0.0675417494847259,0.0148429931335153,0.0617113930786001,0.0600057620556484,0.0580707014391523,0.00384173800987564,0.0585969546023819,0.0112853024872319
104,"Namibia",0.0668217368698258,0.228488792871604,0.0211920611834414,0.165726651332001,0.161670765539083,0.154550524202329,0.00247362972846346,0.00245683856526235,0.00244018266270789,0.111637643164528,0.0974431684048414,0.0811589718966823,0.0252300248022955,1.2358827677755,0.0151631234208902
105,"Nepal",2.81958094026293e-88,0.0880141901181868,0.148299642729226,0.188712766344869,0.307859952908062,0.0715570109601104,0.161003163765187,0.0549406889391184,0.0564279997434742,0.040169459592164,0.0800730555861038,0.0100105670775981,0.0116000309200692,0.0447293889822751,0.0369572446637381
106,"Netherlands",0.0795412346615088,0.0751502111126463,0.1175594053916,0.0954591502672271,0.0766021706588043,0.070006836911785,0.0719641347432521,0.0701370873029116,0.0673165837459041,0.0648633161937195,0.0625738210021908,0.0381471653487822,0.00867704329678309,0.0163966267751197,0.0489744392399838
107,"New Zealand",0.832050664532977,0.0599589328471786,0.16857212006239,0.11144367150864,0.0538491801884275,0.0974295053581519,0.116709275703843,0.126007888393211,0.121575480025484,0.117598813744864,0.0472093931818673,0.00238343537568118,0.00236438757968577,0.023561023174278,0.0600869593562343
108,"Nicaragua",0.253732432366206,0.263426849974335,0.209505134016062,0.160595826674367,0.0223240620249765,0.115408430056342,0.0187867305786086,NaN,0.160740148819934,0.173219202824667,NaN,0.113439863310547,0.0783552601725112,0.079681529004898,0.0696216011879797
109,"Niger",6.99998691781003,0.250222964908382,NaN,0.102474491458022,0.138428917908497,0.160889421589682,0.149300269031451,0.016487350224484,0.769249201495323,0.0258708340290175,0.124745955065696,0.120996288717084,0.0209119661713245,0.0934147904782748,0.0802121884827018
