,Region,03-17-2020,03-20-2020,03-27-2020,03-22-2020,03-29-2020,04-1-2020,03-18-2020,04-3-2020,03-30-2020,03-21-2020,03-28-2020,04-10-2020,03-24-2020,04-5-2020,04-6-2020,04-7-2020,04-11-2020,04-8-2020,04-2-2020,03-26-2020,04-9-2020,03-23-2020,03-16-2020,03-31-2020,04-4-2020,04-12-2020,03-19-2020,03-25-2020,04-13-2020
130,Los Feliz,0,0,6,1,8,14,0,19,11,0,5,21,2,19,19,18,21,20,16,5,20,2,0,13,19,21,0,3,21
131,Hollywood,1,7,30,12,44,67,5,73,49,12,38,110,19,96,100,104,110,109,71,27,109,14,0,61,84,115,5,23,117
132,Hollywood Hills,2,2,19,5,24,32,2,36,26,2,23,46,8,39,39,42,46,43,34,17,45,7,0,29,37,46,2,8,46
133,Studio City,0,3,10,4,14,19,0,19,15,4,10,22,7,21,21,22,22,22,19,11,22,7,0,18,19,21,3,7,21
134,Valley Glen,0,3,2,6,4,8,0,12,4,6,3,31,9,21,25,28,31,29,11,12,30,7,0,7,17,32,1,11,32
135,North Hollywood,1,5,18,5,30,45,2,67,34,5,26,113,10,91,90,98,113,103,57,15,108,9,0,39,86,121,3,11,127
136,Sun Valley,0,0,3,1,6,9,0,11,6,1,5,28,2,18,22,23,28,26,10,2,28,2,0,8,13,32,0,2,34
137,Tujunga,0,1,2,1,3,5,0,7,4,1,2,15,1,10,12,12,15,13,5,2,15,1,0,5,8,15,1,1,15
138,Sunland,0,0,0,1,0,8,0,10,0,1,0,30,1,13,14,18,30,21,9,1,24,1,0,5,10,31,0,1,32
139,Pacoima,0,0,2,0,3,7,0,16,4,0,3,49,0,30,31,39,49,44,8,1,46,0,0,5,22,54,0,0,57
140,San Fernando,0,1,0,1,0,5,0,6,0,1,0,18,2,9,12,12,18,16,5,3,17,1,0,0,8,22,0,3,22
141,Sylmar,0,1,4,1,15,30,1,42,18,1,8,91,1,61,70,81,91,86,35,2,89,1,0,25,52,105,1,1,107
142,Granada Hills,3,4,8,4,8,14,3,21,9,4,8,42,5,27,29,36,42,40,19,8,41,5,3,10,22,46,4,7,47
143,North Hills,0,0,1,0,6,11,0,16,7,0,2,39,0,22,28,31,39,33,13,1,37,0,0,9,21,45,0,0,48
144,Panorama City,0,0,4,0,6,11,0,19,7,0,4,58,0,33,38,49,58,51,16,4,53,0,0,7,27,65,0,1,69
145,Arleta,0,0,2,0,5,7,0,10,5,0,4,23,0,15,17,20,23,20,7,2,22,0,0,7,13,24,0,1,26
146,Van Nuys,0,1,4,2,7,17,0,26,10,2,6,73,4,36,38,53,73,61,22,4,68,4,0,13,33,80,1,4,86
147,Sherman Oaks,2,6,21,7,27,37,4,46,32,7,25,72,10,56,57,61,72,64,43,17,69,8,2,33,52,79,5,12,80
148,Brentwood,1,16,30,23,33,39,2,44,34,18,31,53,31,49,49,49,53,52,42,42,53,27,0,36,46,53,13,34,54
149,Westwood,0,5,16,5,22,26,0,27,26,5,17,33,6,27,27,29,33,30,25,11,33,6,0,28,27,34,2,9,35
150,Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Palisades,0,6,0,7,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,12,0,8,0,0,0,0,5,9,0
152,Encino,5,8,23,10,27,32,6,35,29,10,26,49,12,39,41,41,49,44,33,21,45,10,3,30,39,51,6,13,52
153,Lake Balboa,0,1,3,1,8,14,0,19,11,1,6,31,2,25,26,28,31,30,16,3,31,2,0,11,20,33,0,2,34
154,Northridge,1,1,7,1,8,12,1,17,8,1,8,37,2,23,22,25,37,30,14,4,33,1,1,9,21,46,1,2,48
155,Porter Ranch,0,0,2,0,6,8,0,12,6,0,3,28,1,21,20,24,28,24,12,2,26,0,0,8,16,28,0,1,28
156,Chatsworth,0,0,3,0,8,18,0,19,10,0,4,35,0,24,27,28,35,30,20,1,33,0,0,14,21,36,0,0,37
157,West Hills,3,3,5,4,6,10,3,12,7,4,5,21,4,18,18,19,21,21,11,4,21,4,3,10,15,23,3,4,23
158,Canoga Park,0,0,2,1,3,10,0,20,4,0,3,63,2,32,39,46,63,53,16,3,59,2,0,7,29,76,0,2,79
159,Winnetka,0,1,3,1,9,11,0,18,9,1,8,43,2,29,35,37,43,39,15,5,41,1,0,10,25,44,0,3,49
160,Reseda,1,2,8,2,13,20,1,25,20,3,11,62,4,38,43,46,62,53,21,8,57,3,0,20,34,73,1,5,73
161,Tarzana,5,6,17,8,23,29,5,30,24,7,19,44,9,37,37,38,44,38,29,14,42,8,5,26,33,44,5,9,44
162,Woodland Hills,2,4,14,5,19,29,3,36,22,5,18,62,8,47,53,54,62,55,33,13,60,7,0,25,43,68,3,11,69
163,Calabasas,0,1,7,2,10,13,0,16,11,1,10,23,4,20,20,20,23,20,13,5,21,3,0,13,16,23,1,4,25
164,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
165,Santa Monica Mountains,0,2,0,2,0,0,0,0,0,3,0,5,2,5,5,5,5,5,0,4,5,2,0,0,0,6,2,3,7
166,Avalon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,West Hollywood,8,15,42,19,52,64,11,73,53,18,50,101,31,83,86,96,101,98,68,35,101,23,5,56,81,102,12,31,102
