,State,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13
37,Michigan,37865.5,43651.5,52714.0,64857.5,80856.0,104262.5,139539.5,194794.5,280012.5,405276.5,584638.0,833761.5,1172035.5,1616190.0,2167285.0,2797735.0,3443300.0,4025765.0,4490870.0,4828835.0
38,South Dakota,2138.4,2559.3500000000004,3161.5,3984.8,5080.15,6464.75,8213.75,10460.6,13382.5,17240.5,22456.0,29679.5,39807.0,54183.0,74408.5,102160.0,138724.0,184213.5,236709.5,291942.5
39,Arkansas,2885.2,3521.3999999999996,4384.6,5472.9,6817.650000000001,8704.5,11377.3,15224.55,20693.0,28076.0,38039.0,51472.0,69799.5,95144.0,129899.5,177012.0,239788.0,322010.0,428100.0,561965.0
40,Delaware,3558.7,4127.85,4909.75,5830.4,6891.5,8311.6,10299.05,12972.3,16462.35,20818.7,26246.3,33109.25,41826.95,52941.5,66863.75,83965.8,104577.65,128904.25,157005.6,188481.75
41,Mississippi,6705.35,8976.3,11884.5,16395.5,23100.5,32741.0,46900.5,68316.0,100413.5,147415.0,216360.0,316870.0,459935.0,657750.0,921285.0,1252950.0,1638650.0,2040300.0,2401500.0,2671500.0
42,New Mexico,2584.85,3078.25,3757.2,4617.3,5712.9,7075.299999999999,8747.25,10761.0,13168.0,16077.5,19691.5,24178.0,29725.0,36529.0,44920.0,55344.5,68341.5,84532.5,104595.5,129191.5
43,North Dakota,859.595,1120.95,1485.15,1953.35,2532.2,3212.5,4004.1499999999996,5073.6,6568.0,8642.3,11493.0,15327.0,20368.5,26796.0,35006.0,45593.0,59312.0,77089.0,99949.5,128870.0
44,Wyoming,345.17999999999995,370.40999999999997,406.0,449.35,501.22,560.56,627.385,701.11,781.5550000000001,868.185,960.7099999999999,1058.23,1160.21,1273.855,1406.1100000000001,1569.575,1777.8,2048.7400000000002,2401.9500000000003,2851.8799999999997
45,Alaska,372.95,431.51,521.8199999999999,640.6899999999999,793.6899999999999,981.42,1208.6499999999999,1515.6950000000002,1947.46,2548.67,3382.3450000000003,4549.585,6169.51,8385.24,11403.605,15510.695,21061.75,28482.3,38302.85,51120.15
46,Maine,955.715,1026.49,1138.39,1293.585,1503.33,1773.37,2110.855,2521.29,3010.9700000000003,3586.4449999999997,4255.0,5024.1,5903.5,6922.4,8116.35,9544.75,11282.65,13437.05,16139.95,19541.35
47,Alabama,6271.1,7357.85,9023.55,11314.35,14427.85,18519.75,23792.8,30481.95,38887.5,49348.5,62279.0,78369.0,98466.5,123785.5,155801.0,196354.0,247572.5,311784.5,391263.5,487651.5
48,Idaho,1805.9499999999998,1966.3,2196.35,2478.7,2814.85,3244.8999999999996,3812.55,4552.900000000001,5510.8,6717.8,8228.35,10174.1,12705.85,16034.85,20399.0,26080.55,33447.0,42979.2,55274.7,71003.45
49,Montana,471.09000000000003,517.725,587.9200000000001,677.5350000000001,789.975,929.62,1103.28,1324.325,1611.4299999999998,1978.435,2448.4049999999997,3056.5350000000003,3848.3999999999996,4888.75,6260.35,8070.25,10455.65,13585.3,17679.55,22996.0
50,Puerto Rico,1064.925,1298.3,1545.1999999999998,1761.6999999999998,1972.315,2177.855,2379.46,2793.8450000000003,3562.095,4598.555,5838.87,7308.3,9068.425,11251.2,14195.3,18394.5,24208.85,31854.4,41654.05,54021.55
51,Virgin Islands,58.4125,63.333,70.133,77.8825,88.017,103.137,127.2225,162.53,215.68,288.24,391.545,538.9350000000001,755.625,1072.9650000000001,1537.45,2206.7,3171.95,4555.4,6543.25,9375.25
52,Guam,1092.775,1297.95,1530.05,1881.4499999999998,2374.75,2945.8,3665.1499999999996,4612.65,5782.45,7261.5,9177.0,11604.75,14631.6,18420.5,23057.35,28532.05,34805.25,41741.35,49024.05,56231.3
53,West Virginia,1080.655,1289.605,1628.52,2103.6,2751.45,3597.2,4683.85,6114.45,8021.85,10625.2,14217.45,19207.95,26128.9,35666.95,48690.5,66261.4,89634.6,120190.85,159267.35,207817.7
54,Northern Mariana Islands,15.4995,17.599,20.597,24.9435,31.3115,40.709,54.7965,75.81,107.185,154.065,224.03,328.39,483.895,714.95,1056.6,1558.6,2288.5,3334.0,4798.75,6785.0
