"date","location","value","min_suppressed","race_ethnicity","target"
2020-01-11,"37",0,0,"asian","inc death"
2020-01-11,"37",0,0,"black","inc death"
2020-01-11,"37",0,0,"white","inc death"
2020-01-18,"37",0,0,"other","inc death"
2020-01-18,"37",0,0,"asian","inc death"
2020-01-18,"37",0,0,"black","inc death"
2020-01-18,"37",0,0,"white","inc death"
2020-01-25,"37",0,0,"other","inc death"
2020-01-25,"37",0,0,"asian","inc death"
2020-01-25,"37",0,0,"black","inc death"
2020-01-25,"37",0,0,"white","inc death"
2020-02-01,"37",0,0,"other","inc death"
2020-02-01,"37",0,0,"asian","inc death"
2020-02-01,"37",0,0,"black","inc death"
2020-02-01,"37",0,0,"white","inc death"
2020-02-08,"37",0,0,"other","inc death"
2020-02-08,"37",0,0,"asian","inc death"
2020-02-08,"37",0,0,"black","inc death"
2020-02-08,"37",0,0,"white","inc death"
2020-02-15,"37",0,0,"other","inc death"
2020-02-15,"37",0,0,"asian","inc death"
2020-02-15,"37",0,0,"black","inc death"
2020-02-15,"37",0,0,"white","inc death"
2020-02-22,"37",0,0,"other","inc death"
2020-02-22,"37",0,0,"asian","inc death"
2020-02-22,"37",0,0,"black","inc death"
2020-02-22,"37",0,1,"white","inc death"
2020-02-29,"37",0,0,"other","inc death"
2020-02-29,"37",0,0,"asian","inc death"
2020-02-29,"37",0,0,"black","inc death"
2020-02-29,"37",0,0,"white","inc death"
2020-03-07,"37",0,1,"other","inc death"
2020-03-07,"37",0,0,"asian","inc death"
2020-03-07,"37",0,0,"black","inc death"
2020-03-07,"37",0,0,"white","inc death"
2020-03-14,"37",0,0,"other","inc death"
2020-03-14,"37",0,0,"asian","inc death"
2020-03-14,"37",0,1,"black","inc death"
2020-03-14,"37",0,0,"white","inc death"
2020-03-21,"37",0,0,"other","inc death"
2020-03-21,"37",0,0,"asian","inc death"
2020-03-21,"37",0,0,"black","inc death"
2020-03-21,"37",0,0,"white","inc death"
2020-03-28,"37",0,0,"other","inc death"
2020-03-28,"37",0,0,"asian","inc death"
2020-03-28,"37",0,1,"black","inc death"
2020-03-28,"37",0,1,"white","inc death"
2020-04-04,"37",0,0,"other","inc death"
2020-04-04,"37",0,1,"asian","inc death"
2020-04-04,"37",13,0,"black","inc death"
2020-04-04,"37",26,0,"white","inc death"
2020-04-11,"37",0,3,"other","inc death"
2020-04-11,"37",0,0,"asian","inc death"
2020-04-11,"37",20,0,"black","inc death"
2020-04-11,"37",33,0,"white","inc death"
2020-04-18,"37",0,1,"other","inc death"
2020-04-18,"37",0,0,"asian","inc death"
2020-04-18,"37",38,0,"black","inc death"
2020-04-18,"37",75,0,"white","inc death"
2020-04-25,"37",0,2,"other","inc death"
2020-04-25,"37",0,1,"asian","inc death"
2020-04-25,"37",41,0,"black","inc death"
2020-04-25,"37",67,0,"white","inc death"
2020-05-02,"37",0,2,"other","inc death"
2020-05-02,"37",0,1,"asian","inc death"
2020-05-02,"37",29,0,"black","inc death"
2020-05-02,"37",67,0,"white","inc death"
2020-05-09,"37",0,1,"other","inc death"
2020-05-09,"37",0,1,"asian","inc death"
2020-05-09,"37",44,0,"black","inc death"
2020-05-09,"37",58,0,"white","inc death"
2020-05-16,"37",0,3,"other","inc death"
2020-05-16,"37",0,1,"asian","inc death"
2020-05-16,"37",39,0,"black","inc death"
