place,week_ahead,quantile,value
Oregon,2,point,5373.11604732648
Oregon,2,0.025,4458.76215450012
Oregon,2,0.1,4608.1041500181
Oregon,2,0.25,4986.73687853935
Oregon,2,0.5,5339.44323147604
Oregon,2,0.75,5617.26855251813
Oregon,2,0.9,6180.39336355121
Oregon,2,0.975,6919.95804878644
Oregon,3,point,4911.15475429449
Oregon,3,0.025,3757.15669433348
Oregon,3,0.1,3956.35497622804
Oregon,3,0.25,4423.23208306002
Oregon,3,0.5,4861.02875047913
Oregon,3,0.75,5212.084421334
Oregon,3,0.9,5933.81306927542
Oregon,3,0.975,6908.15201640921
Oregon,4,point,4508.91911265336
Oregon,4,0.025,3162.19210968504
Oregon,4,0.1,3357.88757829771
Oregon,4,0.25,3895.7272473445
Oregon,4,0.5,4432.17628508911
Oregon,4,0.75,4871.45320888661
Oregon,4,0.9,5768.32059377046
Oregon,4,0.975,7006.89241490501
Oregon,5,point,4248.17941601457
Oregon,5,0.025,2748.49117759184
Oregon,5,0.1,2963.57295973675
Oregon,5,0.25,3549.09263373428
Oregon,5,0.5,4148.43566902872
Oregon,5,0.75,4648.0868114595
Oregon,5,0.9,5678.41637088461
Oregon,5,0.975,7138.79234631604
Oregon,6,point,4059.894339975
Oregon,6,0.025,2409.27672448615
Oregon,6,0.1,2615.35952541374
Oregon,6,0.25,3249.03223896655
Oregon,6,0.5,3929.9072122287
Oregon,6,0.75,4509.44742381661
Oregon,6,0.9,5698.00689112462
Oregon,6,0.975,7411.04471204849
Oregon,7,point,3975.33477752653
Oregon,7,0.025,2168.78326339356
Oregon,7,0.1,2378.55858877247
Oregon,7,0.25,3055.37141122879
Oregon,7,0.5,3811.59111204829
Oregon,7,0.75,4466.14632066175
Oregon,7,0.9,5820.47013099351
Oregon,7,0.975,7821.28215331375
Florida,1,point,9587.3616226837
Florida,1,0.025,7131.92099620495
Florida,1,0.1,7674.39502294706
Florida,1,0.25,8579.06026728591
Florida,1,0.5,9435.33414691407
Florida,1,0.75,10091.0755071053
Florida,1,0.9,11744.9295583483
Florida,1,0.975,14344.8318332648
Florida,2,point,9273.08504793017
Florida,2,0.025,4937.04134231713
Florida,2,0.1,5715.79754097173
Florida,2,0.25,7164.8135246681
Florida,2,0.5,8809.557000466
Florida,2,0.75,10081.6407683183
Florida,2,0.9,13574.1604845161
Florida,2,0.975,19679.54367596
Florida,3,point,9497.02504694317
Florida,3,0.025,3455.24036468379
Florida,3,0.1,4325.29453275744
Florida,3,0.25,6095.75676118955
Florida,3,0.5,8551.6789646351
Florida,3,0.75,10394.3541466824
Florida,3,0.9,16183.3047248589
Florida,3,0.975,27333.6888265926
Florida,4,point,10343.9453780256
Florida,4,0.025,2458.90330621321
Florida,4,0.1,3325.33311146572
Florida,4,0.25,5295.93203738099
Florida,4,0.5,8695.22621068896
Florida,4,0.75,11159.8194925541
Florida,4,0.9,19976.2597108224
Florida,4,0.975,38285.4837613516
Florida,5,point,12263.6394247442
Florida,5,0.025,1831.24622538313
Florida,5,0.1,2687.48367750468
Florida,5,0.25,4842.68566855043
Florida,5,0.5,9551.05172452196
Florida,5,0.75,12746.6932936372
Florida,5,0.9,26099.5847651314
Florida,5,0.975,55615.04097775
Florida,6,point,16037.0435275123
Florida,6,0.025,1458.46265434008
Florida,6,0.1,2321.27568146791
Florida,6,0.25,4762.01683911309
Florida,6,0.5,11424.770243166
Florida,6,0.75,16037.0435275123
Florida,6,0.9,36694.780291115
Florida,6,0.975,84860.2824809253
Florida,7,point,22601.4773045066
Florida,7,0.025,1239.77522680722
Florida,7,0.1,2149.63221449591
Florida,7,0.25,5021.6927236421
Florida,7,0.5,13883.5392872039
Florida,7,0.75,22601.4773045066
Florida,7,0.9,55981.0543189629
Florida,7,0.975,133866.734019361
New York,1,point,36113.5858260661
New York,1,0.025,23112.7668041331
New York,1,0.1,25706.5685611292
New York,1,0.25,30400.0331435436
New York,1,0.5,35018.3879186512
New York,1,0.75,38780.758542576
New York,1,0.9,48199.5695090335
New York,1,0.975,63465.1360743055
New York,2,point,41137.6087008803
New York,2,0.025,16465.1745882309
New York,2,0.1,20240.3381933223
New York,2,0.25,28386.8104644585
New York,2,0.5,38061.7367583858
New York,2,0.75,46690.8249147427
New York,2,0.9,67034.6493569668
New York,2,0.975,100439.987712414
New York,3,point,48771.102520938
New York,3,0.025,11805.5168477925
New York,3,0.1,16077.719265488
New York,3,0.25,26781.5364940593
New York,3,0.5,42376.3573013311
New York,3,0.75,56883.8263428986
New York,3,0.9,92093.3472827161
New York,3,0.975,153157.468605255
New York,4,point,58020.1190537325
New York,4,0.025,8623.44821499148
New York,4,0.1,12905.164615891
New York,4,0.25,25598.765681783
New York,4,0.5,47558.994191864
New York,4,0.75,69455.0106130915
New York,4,0.9,120828.142348316
New York,4,0.975,210712.146318852
New York,5,point,68359.0026779313
New York,5,0.025,6645.23561026715
New York,5,0.1,10948.4421218436
New York,5,0.25,25715.7197588333
New York,5,0.5,54031.7843997513
New York,5,0.75,85203.883672194
New York,5,0.9,150756.236858508
New York,5,0.975,259324.990833508
New York,6,point,78084.6274302551
New York,6,0.025,5534.92593196779
New York,6,0.1,9959.74845006578
New York,6,0.25,27659.6025147161
New York,6,0.5,61546.1204707458
New York,6,0.75,105863.748866224
New York,6,0.9,176819.333955313
New York,6,0.975,270566.410930937
New York,7,point,86137.2013349806
New York,7,0.025,4971.89740571287
New York,7,0.1,9786.45841978323
New York,7,0.25,31636.9593248691
New York,7,0.5,69902.017250213
New York,7,0.75,130596.616167872
New York,7,0.9,195784.531230179
New York,7,0.975,234759.75593854
Rhode Island,1,point,2063.24967163475
Rhode Island,1,0.025,1765.13715166529
Rhode Island,1,0.1,1779.59366517651
Rhode Island,1,0.25,1906.17476513147
